MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
25,0,0,2.750884403654585,3.983737648774921,gaussian,0.833424838822311,0.2734828427824037,,,,,,,,,,,,,,1.071292985780027e-06,4.1665460995933265e-06,5e-08,5e-08,0.0021710265733333334,64.8517855396079,64.8517855396079,-2.1383459689401753e-05,-6.84289429681985e-05,5e-08,5e-08
26,0,0,4.234704352258935,5.028471660422371,gaussian,0.7383201908137915,0.2894369612307691,,,,,,,,,,,,,,1.0514698719716749e-05,8.829276972317434e-06,5e-08,5e-08,0.0021710265733333334,55.148214460392076,55.148214460392076,4.27561402769385e-06,-4.313409455854096e-06,5e-08,5e-08
27,0,0,3.031188726804307,6.366412436861298,gaussian,0.829749694731514,0.3531671374737339,,,,,,,,,,,,,,2.508961426858499e-06,4.687396956629551e-05,5e-08,5e-08,0.0021710265733333334,45.44464338117625,45.44464338117625,-2.6813783374022506e-05,2.7264249670891754e-05,5e-08,5e-08
28,0,0,4.175956689023584,3.69558559965549,gaussian,0.6747094837858281,0.2821860558888039,,,,,,,,,,,,,,-3.181035253324727e-06,4.613425398689863e-05,5e-08,5e-08,0.0021710265733333334,35.74107230196042,35.74107230196042,-3.209574449183277e-05,3.3973020073486914e-05,5e-08,5e-08
29,0,0,3.566495858883839,5.380704138709767,gaussian,0.8177102201054942,0.3180283111299446,,,,,,,,,,,,,,6.682367003920003e-06,-5.5014350600069104e-05,5e-08,5e-08,0.0020396265066666666,85.03146653651956,85.03146653651956,5.440314868387059e-05,2.6449893434193564e-05,5e-08,5e-08
30,0,0,5.685967539410355,2.239164044591456,gaussian,0.8009686180156025,0.267632202477071,,,,,,,,,,,,,,-1.665911599928415e-06,-9.715475378986e-05,5e-08,5e-08,0.0020396265066666666,76.68764435767972,76.68764435767972,0.00011668868795338411,4.476412465861067e-05,5e-08,5e-08
31,0,0,2.577895100955509,3.168739022007439,gaussian,0.6103456153317439,0.2987542038441074,,,,,,,,,,,,,,-4.0107262266059695e-06,-2.4575601704340522e-05,5e-08,5e-08,0.0020396265066666666,68.34382217883986,68.34382217883986,1.0732560707076359e-05,-8.007363932683014e-05,5e-08,5e-08
32,0,0,2.861992809486242,3.764803927356323,gaussian,0.9240776824129568,0.3187905418590231,,,,,,,,,,,,,,-2.44993407324561e-07,1.674556793496413e-05,5e-08,5e-08,0.0020396265066666666,60.00000000000001,60.00000000000001,5.979645987698479e-05,0.00010068853829804222,5e-08,5e-08
33,0,0,1.200858315008874,3.03553433486789,gaussian,0.7062183379783776,0.2895132777786235,,,,,,,,,,,,,,1.816445095709281e-06,4.6145045275195166e-05,5e-08,5e-08,0.0020396265066666666,51.65617782116015,51.65617782116015,-3.4941863488751276e-05,4.3810660803747545e-06,5e-08,5e-08
34,0,0,3.888799469517536,0.8498965585980794,gaussian,0.8240375548768755,0.3201453436564796,,,,,,,,,,,,,,-6.089321173024544e-06,6.226929439643537e-05,5e-08,5e-08,0.0020396265066666666,43.3123556423203,43.3123556423203,-5.0260526226602396e-05,2.7854153764050186e-05,5e-08,5e-08
35,0,0,5.094997302736584,3.375720182750162,gaussian,0.6550078631475045,0.3356748724850168,,,,,,,,,,,,,,5.1182070892304e-06,3.560538763220871e-05,5e-08,5e-08,0.0020396265066666666,34.96853346348045,34.96853346348045,-2.8084717536487442e-05,2.5811843905503062e-05,5e-08,5e-08
36,0,0,5.445882042047056,2.96832380040989,gaussian,0.6329315752074484,0.3064509259393936,,,,,,,,,,,,,,9.105011907053076e-08,-2.626492341418962e-05,5e-08,5e-08,0.0022554929066666667,85.09589760214199,85.09589760214199,2.032082811276659e-05,-2.0296358651937718e-05,5e-08,5e-08
37,0,0,3.404453166815156,1.148764292184914,gaussian,0.7074116766666891,0.3283188352698079,,,,,,,,,,,,,,1.66387259329646e-06,-5.571560085106971e-05,5e-08,5e-08,0.0022554929066666667,76.73059840142798,76.73059840142798,5.4136463213597265e-05,-4.157148033370594e-05,5e-08,5e-08
38,0,0,0.3049144243038792,5.182554518181234,gaussian,0.7465857441629444,0.3081197122836798,,,,,,,,,,,,,,-1.407587581260273e-06,-4.752609533138791e-05,5e-08,5e-08,0.0022554929066666667,68.36529920071399,68.36529920071399,6.938374831032557e-05,-3.52461832694296e-07,5e-08,5e-08
39,0,0,3.805853738112119,3.61277800608875,gaussian,0.648778704501608,0.2557409335864941,,,,,,,,,,,,,,-7.011991243756766e-06,1.5890200021403133e-05,5e-08,5e-08,0.0022554929066666667,60.0,60.0,-1.9379547849889042e-05,-4.3382713507445624e-05,5e-08,5e-08
40,0,0,7.193341466527838,5.253508347918865,gaussian,0.7970127533811256,0.3406534064438296,,,,,,,,,,,,,,2.060808679691348e-06,5.254896264361281e-05,5e-08,5e-08,0.0022554929066666667,51.634700799286,51.634700799286,-4.959330875768038e-05,-7.441303106106985e-06,5e-08,5e-08
41,0,0,1.314600545706779,1.365891128056441,gaussian,0.7059686638956498,0.2833000697773581,,,,,,,,,,,,,,-1.0258642312311099e-05,0.0001247231049714928,5e-08,5e-08,0.0022554929066666667,43.26940159857202,43.26940159857202,-9.355635204266523e-05,7.193085712106263e-05,5e-08,5e-08
42,0,0,2.961520439107159,1.569658176157562,gaussian,0.844130929963957,0.3113136834126231,,,,,,,,,,,,,,-2.693297212265596e-06,8.220489821575508e-05,5e-08,5e-08,0.0022554929066666667,34.90410239785801,34.90410239785801,-3.0468698035950907e-05,8.195609388434149e-05,5e-08,5e-08
