MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
157,0,0,4.876069733188326,1.215625993367303,gaussian,0.835261628673522,0.268414768693245,,,,,,,,,,,,,,2.924104025805326e-06,7.302664271691062e-05,5e-08,5e-08,0.0022760520066666665,-25.718475763071908,-25.718475763071908,2.0875973201437344e-05,6.929329906997219e-05,5e-08,5e-08
158,0,0,6.078001863816987,5.642288928262307,gaussian,0.8569017758767059,0.3134705430915554,,,,,,,,,,,,,,5.489277267599322e-07,-3.110566956149956e-05,5e-08,5e-08,0.0024343357733333337,25.75719081890182,25.75719081890182,3.185038508748335e-05,-2.355221296911963e-05,5e-08,5e-08
159,0,0,4.208750189009134,0.621367724818527,gaussian,0.7711071623524809,0.3381462573989027,,,,,,,,,,,,,,-3.598037596035859e-06,-8.460776729475148e-05,5e-08,5e-08,0.0024343357733333337,18.397993442072732,18.397993442072732,-1.5695571826618975e-05,-0.00010881809744670625,5e-08,5e-08
160,0,0,6.880337172199027,3.598690990730541,gaussian,0.763543880231777,0.2712161378442693,,,,,,,,,,,,,,-7.586272628812123e-07,-4.971333303057891e-05,5e-08,5e-08,0.0024343357733333337,11.03879606524363,11.03879606524363,0.00012804457653590163,-5.181877823353286e-05,5e-08,5e-08
161,0,0,5.687381166225782,2.986956685372123,gaussian,0.7581105882734461,0.2991487418585891,,,,,,,,,,,,,,-1.16154407291287e-06,-7.354450488638542e-06,5e-08,5e-08,0.0024343357733333337,3.6795986884145293,3.6795986884145293,-0.00010086069545153134,-4.504219924681772e-05,5e-08,5e-08
162,0,0,7.304402427778482,1.258692326996827,gaussian,0.674936628083454,0.2733119111387183,,,,,,,,,,,,,,-1.280600109267921e-06,6.338463931616941e-06,5e-08,5e-08,0.0024343357733333337,-3.6795986884145435,-3.6795986884145435,4.323885958882452e-06,-2.491595640887079e-05,5e-08,5e-08
163,0,0,3.476988725929299,3.650014551535497,gaussian,0.7915134641793973,0.2847130734156788,,,,,,,,,,,,,,-4.599432456102043e-06,4.986462605976142e-05,5e-08,5e-08,0.0024343357733333337,-11.03879606524363,-11.03879606524363,5.5483345525449734e-05,1.3721858414228263e-05,5e-08,5e-08
164,0,0,4.7121086169192,4.216144216231051,gaussian,0.7459895942210214,0.298059156986887,,,,,,,,,,,,,,-2.269826269913964e-06,6.923195622425217e-05,5e-08,5e-08,0.0024343357733333337,-18.397993442072718,-18.397993442072718,-7.721681483571636e-05,8.373483036042467e-05,5e-08,5e-08
165,0,0,0.3238541473770133,3.625516976680467,gaussian,0.8802654865298766,0.2510955025018893,,,,,,,,,,,,,,-8.268965393983526e-07,6.518111315233994e-06,5e-08,5e-08,0.0024343357733333337,-25.75719081890182,-25.75719081890182,-1.210602051573787e-05,7.70361531340566e-06,5e-08,5e-08
166,0,0,5.33070732417081,4.928889947405314,gaussian,0.7472533423545831,0.2966693319098497,,,,,,,,,,,,,,2.8990420654401057e-06,-4.6232048773891664e-05,5e-08,5e-08,0.0025734775266666667,25.79064691212278,25.79064691212278,0.00010579409240367741,-5.019272393517953e-06,5e-08,5e-08
167,0,0,4.761772189836702,5.114195517693592,gaussian,0.8048533998122825,0.3111858639255905,,,,,,,,,,,,,,-9.434681004586854e-06,-0.00011880170842026757,5e-08,5e-08,0.0025734775266666667,18.42189065151628,18.42189065151628,0.0001870772115342831,-7.715057348042782e-05,5e-08,5e-08
168,0,0,0.6828078820545075,3.361823389289888,gaussian,0.8034880193385695,0.3257051459721748,,,,,,,,,,,,,,-1.8370905185064989e-06,-0.00010353142941269927,5e-08,5e-08,0.0025734775266666667,11.053134390909776,11.053134390909776,1.1690629949539655e-05,-0.00013048570445439944,5e-08,5e-08
169,0,0,3.663567846731287,4.293750225555753,gaussian,0.808075117018397,0.3369302249503734,,,,,,,,,,,,,,2.574664803955171e-06,-1.0909732525881253e-05,5e-08,5e-08,0.0025734775266666667,3.6843781303032586,3.6843781303032586,0.0001074243335293071,-3.7171092326437064e-05,5e-08,5e-08
170,0,0,5.806036488160116,0.5550929516345372,gaussian,0.7902678967832975,0.2575312444294977,,,,,,,,,,,,,,3.152881749821239e-06,4.007661761798688e-05,5e-08,5e-08,0.0025734775266666667,-3.6843781303032586,-3.6843781303032586,-8.55341088442115e-05,1.29624685325859e-05,5e-08,5e-08
171,0,0,7.115850508923797,5.0806850107258,gaussian,0.8676829440258785,0.3264066499852396,,,,,,,,,,,,,,-5.615724220107428e-06,5.523266783640616e-05,5e-08,5e-08,0.0025734775266666667,-11.053134390909776,-11.053134390909776,-4.948465181563421e-06,3.0148595618180008e-05,5e-08,5e-08
172,0,0,3.871599610850096,4.696616779700257,gaussian,0.738500800345655,0.2897205642132952,,,,,,,,,,,,,,6.9188021050313665e-06,0.00013062783341284955,5e-08,5e-08,0.0025734775266666667,-18.421890651516307,-18.421890651516307,4.5986039514941466e-05,0.00010810895701198614,5e-08,5e-08
173,0,0,1.542880152051894,1.434165815950824,gaussian,0.5409811091536167,0.3202313573183465,,,,,,,,,,,,,,-2.712169496921137e-06,4.8477941088259516e-05,5e-08,5e-08,0.0025734775266666667,-25.79064691212278,-25.79064691212278,2.5015973153874433e-05,3.6329036547512064e-05,5e-08,5e-08
174,0,0,2.374801655388673,3.348596288423707,gaussian,0.7459507740928875,0.3404879439594564,,,,,,,,,,,,,,-1.8671928254664928e-06,2.4477800099333713e-05,5e-08,5e-08,0.002362368379259259,26.229686287521723,26.229686287521723,2.3923458916969748e-05,3.3652854999296944e-05,5e-08,5e-08
175,0,0,0.4669427761308156,3.381577045534105,gaussian,0.699303609191963,0.2735141315390736,,,,,,,,,,,,,,-1.0796778389916579e-07,-3.878332540687958e-05,5e-08,5e-08,0.002362368379259259,19.672264715641276,19.672264715641276,3.770083878864204e-05,-3.939453104653082e-05,5e-08,5e-08
176,0,0,1.408686672075259,4.836936201618653,gaussian,0.9068936114288917,0.2849049842112414,,,,,,,,,,,,,,-3.257709977139065e-06,-4.8060446692377644e-05,5e-08,5e-08,0.002362368379259259,13.114843143760865,13.114843143760865,3.753417073585591e-05,-6.274072058116442e-05,5e-08,5e-08
177,0,0,5.715853659567897,0.4394999109461346,gaussian,0.7275229202813338,0.2518894433391807,,,,,,,,,,,,,,-2.969529256575868e-06,-7.851217794162218e-06,5e-08,5e-08,0.002362368379259259,6.557421571880425,6.557421571880425,-0.00011798902877935948,-5.298505053101906e-05,5e-08,5e-08
178,0,0,5.252309565349363,1.286473659183497,gaussian,0.7398980285108236,0.3000462585081994,,,,,,,,,,,,,,-3.2818944962193856e-06,-3.345249186255677e-05,5e-08,5e-08,0.002362368379259259,-0.0,-0.0,8.014071226314545e-05,-6.747735771381933e-05,5e-08,5e-08
179,0,0,2.309610679195473,3.40997103887081,gaussian,0.7984951178659788,0.306697741434241,,,,,,,,,,,,,,-5.203938268823017e-07,2.7793411536331197e-05,5e-08,5e-08,0.002362368379259259,-6.557421571880425,-6.557421571880425,-6.136292355463826e-05,4.387378584468065e-06,5e-08,5e-08
180,0,0,2.562584323723979,3.146036089097597,gaussian,0.7397061289306069,0.3277630558084159,,,,,,,,,,,,,,-6.590352334802165e-07,0.00010805471599751993,5e-08,5e-08,0.002362368379259259,-13.114843143760865,-13.114843143760865,8.332831303890418e-05,6.98942294498873e-05,5e-08,5e-08
181,0,0,5.236309931754241,3.467154094810928,gaussian,0.7591942703841055,0.2863656530305818,,,,,,,,,,,,,,5.45882530864574e-07,9.152649039799494e-05,5e-08,5e-08,0.002362368379259259,-19.67226471564129,-19.67226471564129,7.889322354367353e-05,5.8093212855396646e-05,5e-08,5e-08
182,0,0,6.607796906050056,1.068384171088167,gaussian,0.781922066705546,0.3255551909466199,,,,,,,,,,,,,,-4.756650631727569e-06,8.134131305489588e-05,5e-08,5e-08,0.002362368379259259,-26.229686287521716,-26.229686287521716,-1.199790988213715e-05,9.080430445119027e-05,5e-08,5e-08
183,0,0,5.118358083545834,2.258853186992463,gaussian,0.7909726533838346,0.2633822068180074,,,,,,,,,,,,,,-1.904347226957313e-06,-5.9239216479296884e-05,5e-08,5e-08,0.00245434197037037,26.255802697162004,26.255802697162004,-0.000129588718817134,-0.00012627387240424017,5e-08,5e-08
184,0,0,0.4834720574495043,4.914896044247915,gaussian,0.7313968471198508,0.3172688678519182,,,,,,,,,,,,,,6.298179694736935e-07,-0.00010847053781700042,5e-08,5e-08,0.00245434197037037,19.6918520228715,19.6918520228715,0.0001287952648875722,-7.065155508840813e-05,5e-08,5e-08
185,0,0,7.198367912360283,4.348194440093764,gaussian,0.8237445111220818,0.2718382018837261,,,,,,,,,,,,,,-2.4858753159656973e-06,-0.0001560146551266009,5e-08,5e-08,0.00245434197037037,13.127901348581005,13.127901348581005,0.00017870880659091003,-0.00013228688268262782,5e-08,5e-08
186,0,0,3.328448379283316,5.982379763848582,gaussian,0.7418926247328917,0.2478778480139474,,,,,,,,,,,,,,2.3365629477067335e-06,-5.06704571274166e-05,5e-08,5e-08,0.00245434197037037,6.56395067429051,6.56395067429051,-4.5848134093057634e-05,-8.440541903673252e-05,5e-08,5e-08
187,0,0,5.525728272508504,2.386667995476134,gaussian,0.5441427947965266,0.2846280376868199,,,,,,,,,,,,,,5.029644936832785e-06,5.319718276991464e-05,5e-08,5e-08,0.00245434197037037,-0.0,-0.0,7.35594041033521e-05,1.9884906584335555e-05,5e-08,5e-08
188,0,0,0.7444059592711485,1.431094227575976,gaussian,0.8600137324439135,0.3087554759038496,,,,,,,,,,,,,,1.899391907328559e-06,0.00012176491477961013,5e-08,5e-08,0.00245434197037037,-6.563950674290481,-6.563950674290481,0.00012405824819476262,8.223812822901492e-05,5e-08,5e-08
189,0,0,2.375359035944702,2.89247986784994,gaussian,0.8522794509970667,0.2720308531560229,,,,,,,,,,,,,,-5.756381812800614e-06,0.00013638178609735454,5e-08,5e-08,0.00245434197037037,-13.127901348580991,-13.127901348580991,0.00017168412746858638,9.021256861261219e-05,5e-08,5e-08
190,0,0,3.274021330877551,4.855567249093244,gaussian,0.8034168902892246,0.2977588568245613,,,,,,,,,,,,,,-4.405559185541229e-06,0.0001439904121996695,5e-08,5e-08,0.00245434197037037,-19.6918520228715,-19.6918520228715,5.851690690759481e-05,0.00013526793036416616,5e-08,5e-08
191,0,0,1.719923805765659,4.562757648251234,gaussian,0.8237945691375567,0.2840878197280211,,,,,,,,,,,,,,-2.762245493612227e-06,2.772573681864326e-05,5e-08,5e-08,0.00245434197037037,-26.25580269716197,-26.25580269716197,-8.448149230157319e-06,4.1868251307917665e-05,5e-08,5e-08
192,0,0,2.540271528423356,6.463967468683128,gaussian,0.8557230020719604,0.3471409215198832,,,,,,,,,,,,,,4.90963871311613e-06,-8.042284645513709e-05,5e-08,5e-08,0.002535881662222222,26.27897195715724,26.27897195715724,1.0152893422095122e-05,-8.11960436987024e-05,5e-08,5e-08
193,0,0,1.421819947098635,3.127664279529441,gaussian,0.7801670447899328,0.2801381927653251,,,,,,,,,,,,,,2.442410502908526e-06,-0.00010510330767009026,5e-08,5e-08,0.002535881662222222,19.70922896786793,19.70922896786793,7.272734439188964e-05,-9.129360986000986e-05,5e-08,5e-08
194,0,0,3.497198509300687,1.286243209291563,gaussian,0.843796840466795,0.3094918132254053,,,,,,,,,,,,,,9.022212850873467e-08,-7.69954946322158e-05,5e-08,5e-08,0.002535881662222222,13.13948597857862,13.13948597857862,-5.0177021369897474e-05,-0.00010809453331243314,5e-08,5e-08
195,0,0,4.591782888922101,4.238058477480308,gaussian,0.8751084676239227,0.2539104244188383,,,,,,,,,,,,,,-1.301591665159795e-06,-7.260509886846894e-05,5e-08,5e-08,0.002535881662222222,6.56974298928931,6.56974298928931,-6.255077753853654e-05,-0.00010918905918602095,5e-08,5e-08
196,0,0,4.337195647263678,5.913181498117768,gaussian,0.743272712955057,0.2592881045193118,,,,,,,,,,,,,,2.276041882317306e-06,4.281055457150551e-05,5e-08,5e-08,0.002535881662222222,-0.0,-0.0,-5.41153442678956e-05,1.012175362573895e-05,5e-08,5e-08
197,0,0,4.3005015026653,3.468834958977851,gaussian,0.5248736498503735,0.3480972708373919,,,,,,,,,,,,,,9.731557978787943e-07,0.00013496858467691941,5e-08,5e-08,0.002535881662222222,-6.56974298928931,-6.56974298928931,0.00011499927557170475,9.545985441694926e-05,5e-08,5e-08
198,0,0,0.7270228013727397,3.506613966072633,gaussian,0.7824092392386751,0.3142914126507941,,,,,,,,,,,,,,1.706132425232369e-06,0.00012806429217207,5e-08,5e-08,0.002535881662222222,-13.139485978578605,-13.139485978578605,0.00018954650022223946,7.285711032109682e-05,5e-08,5e-08
199,0,0,2.697365594924652,3.946471347412061,gaussian,0.76837788676077,0.3077522804592231,,,,,,,,,,,,,,3.264169657262491e-06,7.387570844890794e-05,5e-08,5e-08,0.002535881662222222,-19.709228967867944,-19.709228967867944,-3.883416256366727e-06,7.724414457195724e-05,5e-08,5e-08
200,0,0,4.707952356419408,3.136020654899795,gaussian,0.7387770282420337,0.2477291314843198,,,,,,,,,,,,,,6.385531337184588e-06,-7.940688434404756e-06,5e-08,5e-08,0.002535881662222222,-26.27897195715721,-26.27897195715721,-5.794950700470412e-05,2.5725602828804417e-05,5e-08,5e-08
201,0,0,2.636565809146294,2.37793207087059,gaussian,0.8081160285667524,0.249970344006372,,,,,,,,,,,,,,1.5740068401702707e-07,-1.757106741728303e-05,5e-08,5e-08,0.0011432763066666666,-39.095299338642405,-39.095299338642405,3.177629121109278e-06,-2.291198602564974e-05,5e-08,5e-08
202,0,0,1.544131699447566,3.773781463791389,gaussian,0.7702547101696259,0.2718605210343082,,,,,,,,,,,,,,2.5329536154295682e-06,-2.0741359905150858e-05,5e-08,5e-08,0.0011432763066666666,-53.031766446214135,-53.031766446214135,-2.1301045580640172e-05,-6.033128796399139e-06,5e-08,5e-08
203,0,0,1.631373108061466,2.735338638064263,gaussian,0.7653000418234982,0.306412983574331,,,,,,,,,,,,,,-3.2851028946804723e-07,2.5189851843462453e-05,5e-08,5e-08,0.0011432763066666666,-66.96823355378586,-66.96823355378586,1.3928986206277271e-05,3.176769928296461e-05,5e-08,5e-08
204,0,0,2.964218976070579,0.9092475749637355,gaussian,0.7105676625560006,0.3322240750859294,,,,,,,,,,,,,,-7.699606159225422e-07,1.4289876097328756e-05,5e-08,5e-08,0.0011432763066666666,-80.90470066135762,-80.90470066135762,1.660756162124861e-05,5.914564917235444e-07,5e-08,5e-08
205,0,0,5.702599658367794,3.443335970492783,gaussian,0.769582232820099,0.2944938700058825,,,,,,,,,,,,,,1.497017081556158e-06,-1.7902756397670497e-05,5e-08,5e-08,0.0016374245533333333,-38.7477270371314,-38.7477270371314,1.0412780605333727e-05,-3.0151758282034267e-05,5e-08,5e-08
206,0,0,3.41850601981628,2.628997952494484,gaussian,0.8868445847905165,0.3221692748299129,,,,,,,,,,,,,,1.2598594003634499e-06,-1.9346962961406314e-05,5e-08,5e-08,0.0016374245533333333,-52.915909012377114,-52.915909012377114,4.677916984251365e-06,-4.051789452326121e-05,5e-08,5e-08
207,0,0,0.9690869816651259,6.098008885852438,gaussian,0.7343087211695918,0.2904579120431857,,,,,,,,,,,,,,-1.085361968134635e-06,3.539316263512951e-05,5e-08,5e-08,0.0016374245533333333,-67.08409098762283,-67.08409098762283,2.180516913598137e-05,3.523106317562219e-05,5e-08,5e-08
208,0,0,3.976659543152934,6.153024283499448,gaussian,0.712561673357996,0.2909440619131256,,,,,,,,,,,,,,-2.002327441297939e-07,1.0964151229202413e-05,5e-08,5e-08,0.0016374245533333333,-81.25227296286857,-81.25227296286857,1.2159259509747745e-05,2.356957340186576e-06,5e-08,5e-08
209,0,0,4.022524625949589,2.213154381485871,gaussian,0.7753757937259688,0.2952960394611291,,,,,,,,,,,,,,-1.024210911267961e-05,-1.103328100796286e-05,5e-08,5e-08,0.0021275755199999997,-38.52460635891305,-38.52460635891305,-2.2706940676249794e-05,2.589922811341335e-06,5e-08,5e-08
210,0,0,5.348152775588315,1.128145435686137,gaussian,0.7857534755507679,0.2886791745506473,,,,,,,,,,,,,,-1.5481289435747389e-06,-1.69723575779896e-05,5e-08,5e-08,0.0021275755199999997,-52.841535452971016,-52.841535452971016,-2.3752219206548027e-06,-3.288397724520363e-05,5e-08,5e-08
211,0,0,3.198951132608933,3.303806904759464,gaussian,0.6609326435742935,0.2810633585814659,,,,,,,,,,,,,,-3.1801991782036147e-06,-3.961606899897628e-06,5e-08,5e-08,0.0021275755199999997,-67.15846454702898,-67.15846454702898,-1.462727575379899e-05,1.119658177199913e-05,5e-08,5e-08
212,0,0,4.638283900557101,2.374201749590051,gaussian,0.7843395274629469,0.3135451034318701,,,,,,,,,,,,,,1.023313424925425e-06,6.203352281562696e-06,5e-08,5e-08,0.0021275755199999997,-81.47539364108695,-81.47539364108695,9.934064835741739e-06,-2.882142812459727e-05,5e-08,5e-08
213,0,0,3.077656534729899,3.972984401359405,gaussian,0.7237676231049543,0.3068188273035891,,,,,,,,,,,,,,3.074757401221399e-06,-4.6759368998423984e-05,5e-08,5e-08,0.001983757104,-36.92716394449545,-36.92716394449545,2.049708583319298e-05,-7.636316794431045e-05,5e-08,5e-08
214,0,0,2.967660564518705,0.4556677106207137,gaussian,0.7626260306431718,0.2836011258284813,,,,,,,,,,,,,,2.0691022075104423e-06,-9.805651284414037e-06,5e-08,5e-08,0.001983757104,-48.46358197224771,-48.46358197224771,3.2802067917923607e-05,-6.0315324414125244e-05,5e-08,5e-08
215,0,0,4.418343815788498,2.246932256565554,gaussian,0.6845282198691147,0.2490506170814926,,,,,,,,,,,,,,8.584228435970098e-07,7.597167471865753e-06,5e-08,5e-08,0.001983757104,-60.0,-60.0,4.947683738056426e-06,-8.323714857058581e-06,5e-08,5e-08
216,0,0,0.7790828409689116,3.636380827281889,gaussian,0.7699504087743112,0.3135677297732113,,,,,,,,,,,,,,2.124143628695668e-06,1.732195523092927e-05,5e-08,5e-08,0.001983757104,-71.53641802775229,-71.53641802775229,-2.498223693415852e-06,4.433244194665777e-05,5e-08,5e-08
217,0,0,4.988313296410216,3.765008724197759,gaussian,0.7494974088958146,0.3108342921948332,,,,,,,,,,,,,,-1.7474336038096568e-06,1.461982661326019e-05,5e-08,5e-08,0.001983757104,-83.07283605550452,-83.07283605550452,1.6002947894718464e-05,-2.2405777227038368e-05,5e-08,5e-08
218,0,0,1.605664133857977,4.389716370807411,gaussian,0.781691726391336,0.3155759946264294,,,,,,,,,,,,,,-3.370999151781812e-07,-1.929081387894781e-05,5e-08,5e-08,0.0023533133866666667,-36.805088086910004,-36.805088086910004,3.043937300250118e-06,-2.8392613325163553e-05,5e-08,5e-08
219,0,0,4.76707801785807,1.721080159564104,gaussian,0.6966650582864461,0.2893987782116624,,,,,,,,,,,,,,-5.873614101043273e-06,-1.3603485196134233e-05,5e-08,5e-08,0.0023533133866666667,-48.40254404345498,-48.40254404345498,7.766888981258998e-06,-4.000226096438755e-05,5e-08,5e-08
220,0,0,3.425090162041166,3.716701629825315,gaussian,0.8042339068392566,0.2710710062698206,,,,,,,,,,,,,,8.754413097751483e-07,-2.5474693962716963e-05,5e-08,5e-08,0.0023533133866666667,-60.00000000000003,-60.00000000000003,-1.8328407784131174e-05,-4.0826569707785794e-05,5e-08,5e-08
221,0,0,0.1135862796641573,3.197795107963428,gaussian,0.8238315986598237,0.2952435415323075,,,,,,,,,,,,,,-2.85185848878204e-06,5.2425980700196046e-05,5e-08,5e-08,0.0023533133866666667,-71.59745595654502,-71.59745595654502,3.7923353833544634e-05,2.842933798836888e-05,5e-08,5e-08
222,0,0,0.2836741367904811,5.431514513372981,gaussian,0.6968032976441042,0.322446188493071,,,,,,,,,,,,,,6.248360308229436e-06,3.6800888879829e-05,5e-08,5e-08,0.0023533133866666667,-83.19491191309007,-83.19491191309007,2.9001167029502038e-05,5.635838212834084e-05,5e-08,5e-08
223,0,0,1.110750933854673,5.392037609977704,gaussian,0.7938021858857484,0.2657189209914826,,,,,,,,,,,,,,8.327919919059424e-06,-1.0288585779259804e-05,5e-08,5e-08,0.0021710265733333334,-35.74107230196044,-35.74107230196044,1.6357737724534543e-05,-2.234083692120439e-05,5e-08,5e-08
224,0,0,4.486043070838366,1.133606870851046,gaussian,0.8427139845816553,0.3281020821211859,,,,,,,,,,,,,,2.119933408197511e-06,-4.866230642115075e-05,5e-08,5e-08,0.0021710265733333334,-45.444643381176235,-45.444643381176235,-1.749378101470773e-05,-6.006180476243808e-05,5e-08,5e-08
225,0,0,2.702465265901643,3.615571367984387,gaussian,0.8704204155745794,0.3169990002339471,,,,,,,,,,,,,,6.224451689589178e-07,-3.861101030990207e-06,5e-08,5e-08,0.0021710265733333334,-55.14821446039207,-55.14821446039207,-5.1074319452996586e-05,4.4162505397067006e-05,5e-08,5e-08
226,0,0,2.751139324422069,4.776116461814925,gaussian,0.6599871176831164,0.3299320691148069,,,,,,,,,,,,,,7.277007889076886e-07,3.803779810230605e-05,5e-08,5e-08,0.0021710265733333334,-64.8517855396079,-64.8517855396079,2.0280997079947306e-05,1.4975020065480952e-05,5e-08,5e-08
227,0,0,1.925988042972255,3.599615347393804,gaussian,0.7474935457234415,0.2758647802050893,,,,,,,,,,,,,,-2.934908848000857e-07,5.1537602543619205e-05,5e-08,5e-08,0.0021710265733333334,-74.55535661882374,-74.55535661882374,4.624273880782347e-05,2.7473597013446056e-06,5e-08,5e-08
228,0,0,3.760605913920302,3.30146295654865,gaussian,0.8276439590826886,0.3297650969839183,,,,,,,,,,,,,,1.581783094815397e-06,5.2854847196568554e-05,5e-08,5e-08,0.0021710265733333334,-84.25892769803957,-84.25892769803957,5.351097558976775e-05,1.429044688586907e-05,5e-08,5e-08
229,0,0,3.975154887657887,6.200864233707064,gaussian,0.9094316730124009,0.3124062642405946,,,,,,,,,,,,,,-2.1968279323865676e-06,-1.915641973407692e-05,5e-08,5e-08,0.0020396265066666666,-34.96853346348044,-34.96853346348044,6.312945620669043e-06,-2.452818149585669e-05,5e-08,5e-08
230,0,0,4.200694125015334,3.416023275646028,gaussian,0.7810860463978672,0.2673776576083483,,,,,,,,,,,,,,-1.907812178588566e-06,-9.158336429250451e-05,5e-08,5e-08,0.0020396265066666666,-43.312355642320284,-43.312355642320284,-0.00010191915403140518,-3.7469682040409024e-05,5e-08,5e-08
231,0,0,2.763084080030973,0.8743985773849324,gaussian,0.5939918525240114,0.2796569994190748,,,,,,,,,,,,,,2.38725514149756e-06,-2.8380053321780716e-05,5e-08,5e-08,0.0020396265066666666,-51.65617782116013,-51.65617782116013,-4.2008639469899486e-05,-1.5580366179354237e-05,5e-08,5e-08
232,0,0,1.290770673685188,1.742638488848026,gaussian,0.7650729038139337,0.292832641684461,,,,,,,,,,,,,,4.611107435861962e-06,3.3368117786254305e-05,5e-08,5e-08,0.0020396265066666666,-59.99999999999997,-59.99999999999997,1.9291322846439936e-05,-1.7141713454889948e-06,5e-08,5e-08
233,0,0,1.566256843282354,4.160321122161083,gaussian,0.8774331991782889,0.3275594161637223,,,,,,,,,,,,,,7.203635133258755e-06,5.405174978921085e-05,5e-08,5e-08,0.0020396265066666666,-68.34382217883984,-68.34382217883984,4.3474685180442065e-05,-2.809848376486793e-06,5e-08,5e-08
234,0,0,2.868324148178492,5.113217480241405,gaussian,0.9168512574695411,0.2830292886325315,,,,,,,,,,,,,,-2.9702566076666026e-06,7.740482422730226e-05,5e-08,5e-08,0.0020396265066666666,-76.68764435767969,-76.68764435767969,7.524481818834563e-05,-7.067488119298258e-06,5e-08,5e-08
235,0,0,1.343150106731982,3.360296451840796,gaussian,0.9208031092389475,0.3246263349996822,,,,,,,,,,,,,,-3.8811367642914717e-07,5.1013869816584815e-05,5e-08,5e-08,0.0020396265066666666,-85.03146653651959,-85.03146653651959,5.236064328105105e-05,1.8675033929488664e-05,5e-08,5e-08
236,0,0,5.380861470222054,4.181663760234503,gaussian,0.6658842530924095,0.282186591145242,,,,,,,,,,,,,,1.487879254202896e-06,-2.1045040116482865e-05,5e-08,5e-08,0.0022554929066666667,-34.90410239785801,-34.90410239785801,6.307409745788593e-05,-6.632898887026067e-05,5e-08,5e-08
237,0,0,2.197006033382304,3.225814230138484,gaussian,0.7489843086036482,0.2895698421788667,,,,,,,,,,,,,,4.246254225708285e-06,-0.0001125309818051474,5e-08,5e-08,0.0022554929066666667,-43.26940159857202,-43.26940159857202,-8.800310170999654e-05,-8.160061507555717e-05,5e-08,5e-08
238,0,0,3.929294444228052,1.781741968237183,gaussian,0.8776293234513463,0.2744555642271054,,,,,,,,,,,,,,-1.011818303357063e-06,-1.6716038860369343e-05,5e-08,5e-08,0.0022554929066666667,-51.63470079928601,-51.63470079928601,-7.219562079776332e-05,3.64239977265521e-05,5e-08,5e-08
239,0,0,4.663954752060726,4.613206647923711,gaussian,0.6106510442875178,0.3134368780326658,,,,,,,,,,,,,,2.383652867350034e-06,-1.2137720933382964e-05,5e-08,5e-08,0.0022554929066666667,-60.0,-60.0,-1.2597915493315916e-05,-4.447293589118927e-05,5e-08,5e-08
240,0,0,0.9252821112287664,4.514585895189049,gaussian,0.9026202597627234,0.3025176290947885,,,,,,,,,,,,,,-4.8272499961223774e-06,4.879834124711905e-05,5e-08,5e-08,0.0022554929066666667,-68.36529920071399,-68.36529920071399,1.8694895539776417e-05,3.707589083565879e-05,5e-08,5e-08
241,0,0,1.238071176752835,5.441662606852842,gaussian,0.7466398645155109,0.2844906991718323,,,,,,,,,,,,,,1.923215459221331e-06,8.149582024805148e-05,5e-08,5e-08,0.0022554929066666667,-76.73059840142798,-76.73059840142798,6.353143757793734e-05,5.3139544859713656e-05,5e-08,5e-08
242,0,0,8.353081830038663,7.645726473043495,gaussian,0.6687450274027962,0.285653988395171,,,,,,,,,,,,,,1.421380903271707e-07,5.073525628201275e-05,5e-08,5e-08,0.0022554929066666667,-85.09589760214197,-85.09589760214197,5.4137621929028866e-05,-5.598498787727211e-06,5e-08,5e-08
243,0,0,2.863314688609502,5.614503024667956,gaussian,0.7623936725078008,0.2838301402689345,,,,,,,,,,,,,,4.040461880284233e-06,-4.143509510805244e-05,5e-08,5e-08,0.0024684620533333332,-34.85078602055155,-34.85078602055155,-2.5790933063928007e-05,-3.1221475665631223e-05,5e-08,5e-08
244,0,0,2.594551486761219,4.697270645784588,gaussian,0.7600554260982373,0.291766544055136,,,,,,,,,,,,,,-5.53963639162835e-07,-7.453053044834481e-05,5e-08,5e-08,0.0024684620533333332,-43.23385734703436,-43.23385734703436,-2.980019573217959e-05,-8.712726185133907e-05,5e-08,5e-08
245,0,0,2.000660637526156,2.459592677738179,gaussian,0.7047589480943018,0.2720318848308495,,,,,,,,,,,,,,-3.942899707799208e-06,-6.176300086799795e-05,5e-08,5e-08,0.0024684620533333332,-51.61692867351718,-51.61692867351718,-7.718814791576688e-05,-3.505387185882704e-05,5e-08,5e-08
246,0,0,2.738239283852873,4.113221999762222,gaussian,0.73702615107917,0.2448398623712284,,,,,,,,,,,,,,6.424222122598648e-06,3.0190703851771148e-05,5e-08,5e-08,0.0024684620533333332,-60.0,-60.0,3.272745369342891e-05,-4.519001817408282e-05,5e-08,5e-08
