MM #,mux,muy,sigmax,sigmay,weight,distribution,alpha_azi,alpha_rad,theta_degrees
80,-0.0001897054766217059,0.0001838609815538241,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,46.88515685623915
81,-0.0001674676816848486,0.00020432230418949976,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,40.32773528435872
82,-0.00014303870777376723,0.00022211023496591752,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,33.77031371247829
83,-0.00027956931809429306,2.314961075965517e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,86.255802697162
84,-0.00027509042804314246,5.495602330111171e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,79.6918520228715
85,-0.00026700503924501594,8.604194974429098e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,73.12790134858099
86,-0.00025541915300565426,0.00011599984644776793,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,66.56395067429048
87,-0.00024048466295691572,0.0001444369584993062,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.00000000000001
88,-0.00022239736369634585,0.0001709804688230409,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,53.436049325709504
89,-0.00020139438387499787,0.00019528238589704296,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,46.872098651419
90,-0.00017775107738630692,0.00021702410600216453,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,40.3081479771285
91,-0.0001517774134132518,0.000235920590190035,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,33.744197302838
92,-0.00029586467970031877,2.4381378440133962e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,86.27897195715724
93,-0.0002911322964186118,5.807190620979164e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,79.70922896786794
94,-0.00028257636998120186,9.099975514835261e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,73.13948597857862
95,-0.0002703092683883865,0.000122732472199286,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,66.56974298928932
96,-0.00025449209981302177,0.00015285330039476483,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.00000000000001
97,-0.00023533259671005332,0.00018096665227194947,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,53.4302570107107
98,-0.0002130823875928999,0.000206703305262694,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,46.86051402142139
99,-0.00018803369230741644,0.0002297252508237897,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,40.29077103213208
100,-0.00016051548420556794,0.0002497301336224072,0.00024029111365040596,7.349581480148122e-05,1.0,pseudo-voigt,0.29,0.77,33.72102804284276
101,-2.2678741912408477e-05,6.258210328805835e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,20.90470066135758
102,-6.938518151281192e-06,6.620197846402462e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,6.968233553785851
103,9.210198560309574e-06,6.592432956933661e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-6.968233553785865
104,2.4816681166256247e-05,6.176550269024951e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-20.904700661357595
105,-2.8784286930915653e-05,7.79514648395034e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,21.252272962868574
106,-8.828608932375236e-06,8.26257932431804e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,7.084090987622858
107,1.16641764406193e-05,8.227340416384699e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-7.084090987622872
108,3.144734660342863e-05,7.691573594752534e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-21.252272962868602
109,-3.487406510019503e-05,9.332422711789391e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,21.475393641086967
110,-1.0713260155412033e-05,9.90496736017204e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,7.1584645470289985
111,1.4112994472232112e-05,9.862269095290206e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-7.158464547028984
112,3.806262633896781e-05,9.20698010204486e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-21.475393641086953
113,-4.3677705238183426e-05,0.00010763362763626957,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,23.07283605550451
114,-2.1269589120723622e-05,0.00011419432696790311,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,11.536418027752262
115,1.997912598797873e-06,0.00011614106973101431,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-1.4210854715202004e-14
116,2.518468980070694e-05,0.00011339519889598033,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-11.536418027752276
117,4.73538939933646e-05,0.0001060676598058143,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-23.072836055504553
118,-5.0154813681201527e-05,0.00012284459474632363,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,23.194911913090024
119,-2.443486929542137e-05,0.00013041946540413437,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,11.597455956545005
120,2.2827910292321183e-06,0.00013266909458838324,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-1.4210854715202004e-14
121,2.8907241238151132e-05,0.00012950162623605877,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-11.59745595654502
122,5.4351361199199194e-05,0.00012104639329438406,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-23.194911913090024
123,-5.895793787882566e-05,0.00013707733508988614,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,24.25892769803957
124,-3.5009928056619994e-05,0.00014505357345387493,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,14.555356618823751
125,-1.0060141752829625e-05,0.00014887923892262938,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,4.851785539607917
126,1.5177506136768516e-05,0.0001484448636421508,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-4.851785539607917
127,3.998086382524617e-05,0.0001437628768564942,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-14.555356618823751
128,6.364020633526367e-05,0.0001349672492565269,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-24.258927698039585
129,-6.753509888672605e-05,0.00015136541282269558,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,25.03146653651956
130,-4.485515847671358e-05,0.0001595634436161799,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,16.687644357679716
131,-2.1225642441681468e-05,0.00016438354505108718,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,8.343822178839858
132,2.8532166203843397e-06,0.00016572367644830378,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-0.0
133,2.687167360055747e-05,0.00016355546746755372,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-8.343822178839844
134,5.032126209110482e-05,0.0001579248187023916,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-16.687644357679687
135,7.270555852774629e-05,0.00014895092997290542,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-25.03146653651956
136,-7.445606658860038e-05,0.00016637683606437952,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,25.09589760214199
137,-4.945875701114278e-05,0.00017543884628426007,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,16.730598401427983
138,-2.3409026978778104e-05,0.00018076773740506447,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,8.365299200713991
139,3.1388178528806533e-06,0.00018225011729248886,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-0.0
