MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8,Unnamed: 9,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
256,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.815913877571154e-05,,,0.0022760520066666665,-78.37033983076566,-78.37033983076566,8.691267655227846e-05,9.433750303094458e-06,,
257,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.5320168273006145e-05,,,0.0022760520066666665,-85.71847576307192,-85.71847576307192,4.378359995321974e-05,-3.478823293486923e-06,,
258,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.141079862209935e-05,,,0.0024343357733333337,-34.24280918109818,-34.24280918109818,-2.0936670994124552e-05,-4.2591321629716254e-05,,
259,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.46257146183682e-05,,,0.0024343357733333337,-41.60200655792727,-41.60200655792727,-6.2617344878375e-05,-7.818833222359577e-05,,
260,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.35206383367129e-05,,,0.0024343357733333337,-48.961203934756384,-48.961203934756384,-7.205704407142619e-05,-7.021768257812596e-05,,
261,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.18106753233542e-05,,,0.0024343357733333337,-56.32040131158544,-56.32040131158544,-1.26690129902638e-05,-1.753480774080011e-05,,
262,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.6271589346459399e-06,,,0.0024343357733333337,-63.67959868841456,-63.67959868841456,-2.587997349019656e-05,-2.350187988430897e-05,,
263,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.750048188910101e-05,,,0.0024343357733333337,-71.03879606524362,-71.03879606524362,6.064324397535484e-05,9.50726692473071e-06,,
264,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00010094925218246944,,,0.0024343357733333337,-78.39799344207273,-78.39799344207273,8.626514608835418e-05,5.895612943222262e-06,,
265,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.952743498100099e-05,,,0.0024343357733333337,-85.75719081890185,-85.75719081890185,4.467713892730296e-05,-6.894060251248411e-06,,
266,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.511342071012526e-05,,,0.0025734775266666667,-34.20935308787719,-34.20935308787719,-1.54207004250696e-05,-3.8693301455713145e-05,,
267,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.396854150021613e-05,,,0.0025734775266666667,-41.578109348483736,-41.578109348483736,-6.0315902088075335e-05,-7.912104538384718e-05,,
268,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.987892016784948e-05,,,0.0025734775266666667,-48.946865609090224,-48.946865609090224,-6.914338082041226e-05,-7.038813753420771e-05,,
269,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,6.69651646073087e-06,,,0.0025734775266666667,-56.31562186969674,-56.31562186969674,-1.820451669227789e-05,-2.2865301753804058e-05,,
270,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.1376015662802854e-06,,,0.0025734775266666667,-63.68437813030326,-63.68437813030326,-2.0599136341432092e-05,-2.4092317809777327e-05,,
271,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.233690653746271e-05,,,0.0025734775266666667,-71.05313439090978,-71.05313439090978,5.521662685399124e-05,4.67173295332616e-06,,
272,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.90268678101752e-05,,,0.0025734775266666667,-78.42189065151629,-78.42189065151629,8.485320628435651e-05,2.958710427678375e-06,,
273,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.364860540868772e-05,,,0.0025734775266666667,-85.79064691212281,-85.79064691212281,3.828468848140241e-05,-1.0189215483065822e-05,,
274,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.2888401211528336e-05,,,0.002362368379259259,-33.7703137124783,-33.7703137124783,-1.2032451467223409e-05,-3.882161905567825e-05,,
275,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.257820743592488e-05,,,0.002362368379259259,-40.32773528435871,-40.32773528435871,-5.349455763781333e-05,-7.925987537060015e-05,,
276,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-9.038637741805145e-05,,,0.002362368379259259,-46.88515685623912,-46.88515685623912,-7.596781973074804e-05,-8.495620350917447e-05,,
277,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.547162613158689e-05,,,0.002362368379259259,-53.44257842811956,-53.44257842811956,-5.608255627457633e-05,-5.603287514185849e-05,,
278,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.129032721379427e-06,,,0.002362368379259259,-59.99999999999997,-59.99999999999997,-1.7722667415334327e-05,-2.634585189117971e-05,,
279,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.7941728271147895e-05,,,0.002362368379259259,-66.55742157188041,-66.55742157188041,2.9664297989159606e-05,-4.261945622207063e-06,,
280,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00010685559029653942,,,0.002362368379259259,-73.11484314376085,-73.11484314376085,8.468710059267752e-05,8.619132516423258e-06,,
281,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.643005902799022e-05,,,0.002362368379259259,-79.67226471564126,-79.67226471564126,8.569643674858035e-05,-8.391790473965159e-07,,
282,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.2586413846769566e-05,,,0.002362368379259259,-86.2296862875217,-86.2296862875217,3.6808019529770295e-05,-1.1818968554765492e-05,,
283,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.698784722057363e-05,,,0.00245434197037037,-33.744197302838,-33.744197302838,-9.137373377080502e-06,-3.2668265962421275e-05,,
284,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.523308800338778e-05,,,0.00245434197037037,-40.3081479771285,-40.3081479771285,-4.961446745841088e-05,-6.950946408383984e-05,,
285,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-0.00010728009332388672,,,0.00245434197037037,-46.87209865141904,-46.87209865141904,-8.303350268952594e-05,-8.72945516284453e-05,,
286,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.087949417983412e-05,,,0.00245434197037037,-53.43604932570952,-53.43604932570952,-8.216999747030148e-05,-7.3561458572471e-05,,
287,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.246378374997316e-06,,,0.00245434197037037,-60.00000000000003,-60.00000000000003,-1.5248254802130789e-05,-2.6921862056733918e-05,,
288,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.680138950060742e-05,,,0.00245434197037037,-66.56395067429051,-66.56395067429051,7.21883777161351e-05,6.876482894562153e-06,,
289,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00012527431385749726,,,0.00245434197037037,-73.12790134858102,-73.12790134858102,0.0001164549181827883,8.015340144690497e-06,,
290,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00010034222058661039,,,0.00245434197037037,-79.69185202287153,-79.69185202287153,0.00010449636064076235,-6.739935815672537e-06,,
291,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.1823700729039486e-05,,,0.00245434197037037,-86.25580269716201,-86.25580269716201,5.769182901400353e-05,-1.676332921942886e-05,,
292,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.0217521644197715e-05,,,0.002535881662222222,-33.72102804284276,-33.72102804284276,-3.5328460178208637e-06,-2.8595675988562293e-05,,
293,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.609893763223473e-05,,,0.002535881662222222,-40.29077103213206,-40.29077103213206,-5.1621453627128495e-05,-7.551780085164278e-05,,
294,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-0.00010468734724904535,,,0.002535881662222222,-46.86051402142135,-46.86051402142135,-8.247524120091182e-05,-9.02877985962331e-05,,
295,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.963402922547883e-05,,,0.002535881662222222,-53.430257010710704,-53.430257010710704,-7.299584078732397e-05,-6.843107451819154e-05,,
296,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.317956450937155e-06,,,0.002535881662222222,-59.99999999999997,-59.99999999999997,-1.3174955575962804e-05,-2.7066805055112463e-05,,
297,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.766476499551133e-05,,,0.002535881662222222,-66.5697429892893,-66.5697429892893,6.29539095771189e-05,2.4959980271658364e-06,,
298,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00012266853285413905,,,0.002535881662222222,-73.13948597857859,-73.13948597857859,0.00010903025832389521,7.652114744330893e-06,,
299,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00010275130062155188,,,0.002535881662222222,-79.70922896786792,-79.70922896786792,0.00010099959039182346,-5.477279861326596e-06,,
300,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.482578835918408e-05,,,0.002535881662222222,-86.27897195715721,-86.27897195715721,5.006983519533773e-05,-1.731269493112852e-05,,
301,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-5.011841358704699e-06,,,0.0011432763066666666,80.90470066135762,80.90470066135762,-2.3294517889107683e-06,2.706312357542675e-06,,
302,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.935621082006913e-06,,,0.0011432763066666666,66.96823355378586,66.96823355378586,-5.066427043959107e-06,4.948151707860605e-06,,
303,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.1064289641050228e-05,,,0.0011432763066666666,53.031766446214164,53.031766446214164,9.802183883002778e-06,-5.4304991821186335e-06,,
304,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.941523973389341e-06,,,0.0011432763066666666,39.09529933864238,39.09529933864238,7.592897490807049e-06,-6.600267431546209e-06,,
305,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-5.3113893850031785e-06,,,0.0016374245533333333,81.2522729628686,81.2522729628686,-3.2368573923075796e-06,3.7758151102374897e-06,,
306,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.2386556264843917e-05,,,0.0016374245533333333,67.08409098762289,67.08409098762289,-1.0712960067104196e-05,8.934991404860107e-06,,
307,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.8480031945314635e-05,,,0.0016374245533333333,52.91590901237717,52.91590901237717,1.4398163217368455e-05,-9.07525940446686e-06,,
308,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.616734336319985e-06,,,0.0016374245533333333,38.747727037131426,38.747727037131426,7.463282128958377e-06,-7.956139244469636e-06,,
309,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.0824586286129296e-05,,,0.0021275755199999997,81.47539364108698,81.47539364108698,-1.0628759287385223e-05,4.8492864521473506e-06,,
310,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-5.362009221167681e-06,,,0.0021275755199999997,67.15846454702901,67.15846454702901,-7.632906810743556e-06,6.682579576010787e-06,,
311,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.0119637027131775e-05,,,0.0021275755199999997,52.841535452971044,52.841535452971044,5.022363719480293e-06,-1.878746099873028e-06,,
312,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.538400653906329e-05,,,0.0021275755199999997,38.524606358913076,38.524606358913076,1.0133354127838579e-05,-1.0562427211766717e-05,,
313,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.380596715114098e-05,,,0.001983757104,83.07283605550452,83.07283605550452,-2.445538428442077e-05,6.486298904563126e-06,,
314,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.5028574983231418e-05,,,0.001983757104,71.53641802775232,71.53641802775232,-1.781448952357829e-05,9.659053150088789e-06,,
315,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.866037641612127e-06,,,0.001983757104,60.0,60.0,-2.3685150381264772e-06,4.195545794996913e-06,,
316,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.2148437939411005e-05,,,0.001983757104,48.46358197224774,48.46358197224774,1.3636792760865354e-05,-9.72145269048671e-06,,
317,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.0892773426189e-05,,,0.001983757104,36.927163944495476,36.927163944495476,1.883022799462894e-05,-2.2663361386967335e-05,,
