MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
437,0.0,0.0,0.0002954397168520762,0.0001585006024606492,pseudo-voigt,0.3482999949562777,0.7360961906281142,0.0,68.36529920071399,68.36529920071399,0.0,-0.0,0.0002954397168520762,0.0001585006024606492
438,0.0,0.0,0.00024435528343169893,0.0002611306461800269,pseudo-voigt,0.2776843523223382,0.7636866503234703,0.0,-51.63470079928595,-51.63470079928595,-0.0,0.0,0.00024435528343169893,0.0002611306461800269
439,0.0,0.0,8.731063608616339e-05,8.439871889529068e-05,pseudo-voigt,0.3241992365414877,0.7058748909837058,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,-0.0,8.731063608616339e-05,8.439871889529068e-05
440,0.0,0.0,0.00021709657227065383,0.00021036393656699215,pseudo-voigt,0.2995914271238133,0.8680961050777566,0.0,25.09589760214199,25.09589760214199,0.0,0.0,0.00021709657227065383,0.00021036393656699215
441,0.0,0.0,0.0003956152348606935,0.0001898912826418192,pseudo-voigt,0.2908478065666581,0.8034292058693809,0.0,-85.09589760214197,-85.09589760214197,0.0,0.0,0.0003956152348606935,0.0001898912826418192
442,0.0,0.0,0.00026178782646792733,0.00022068427704113612,pseudo-voigt,0.2773624238879426,0.8117593172516424,0.0,51.63470079928604,51.63470079928604,0.0,-0.0,0.00026178782646792733,0.00022068427704113612
443,0.0,0.0,0.00043745467729063757,0.00034080346540145987,pseudo-voigt,0.2193821516637866,0.8139595086452232,0.0,-85.14921397944846,-85.14921397944846,-0.0,0.0,0.00043745467729063757,0.00034080346540145987
444,0.0,0.0,0.0001623646333616396,0.000271506116547088,pseudo-voigt,0.2896053246406153,0.7942960054039244,0.0,-59.99999999999997,-59.99999999999997,-0.0,0.0,0.0001623646333616396,0.000271506116547088
445,0.0,0.0,0.00028164029024656137,0.00019754489130995387,pseudo-voigt,0.2796449758606455,0.7987699599044561,0.0,68.38307132648285,68.38307132648285,0.0,-0.0,0.00028164029024656137,0.00019754489130995387
446,0.0,0.0,0.00029689467160391676,0.000148239351148532,pseudo-voigt,0.2515881624306966,0.789185831929719,0.0,60.00000000000001,60.00000000000001,0.0,0.0,0.00029689467160391676,0.000148239351148532
447,0.0,0.0,0.00028339355128746777,0.00015738080329840066,pseudo-voigt,0.304359086404543,0.7079283921747185,0.0,51.61692867351719,51.61692867351719,0.0,0.0,0.00028339355128746777,0.00015738080329840066
448,0.0,0.0,0.00027770897702752653,0.000257810828769958,pseudo-voigt,0.3251921327414246,0.7984455292199529,0.0,-68.38307132648282,-68.38307132648282,0.0,0.0,0.00027770897702752653,0.000257810828769958
449,0.0,0.0,0.00021785654137612126,0.00022969838475979325,pseudo-voigt,0.3223715641853441,0.8049861649937714,0.0,25.14921397944846,25.14921397944846,0.0,0.0,0.00021785654137612126,0.00022969838475979325
450,0.0,0.0,0.00012802923160501256,0.0001614458917431633,pseudo-voigt,0.2737889509357693,0.6627414162848005,0.0,3.6740679661531885,3.6740679661531885,0.0,-0.0,0.00012802923160501256,0.0001614458917431633
451,0.0,0.0,0.00022732269313431247,0.00017286711735039272,pseudo-voigt,0.3062896901435127,0.8883700534513052,0.0,41.62966016923434,41.62966016923434,0.0,-0.0,0.00022732269313431247,0.00017286711735039272
452,0.0,0.0,0.00028267263566751025,0.00019497334691728156,pseudo-voigt,0.2494217833316217,0.7451289594873115,0.0,78.37033983076564,78.37033983076564,0.0,0.0,0.00028267263566751025,0.00019497334691728156
453,0.0,0.0,5.3698913561629354e-05,9.397959149544803e-05,pseudo-voigt,0.2681722311203498,0.7016193975796523,0.0,-3.6740679661530606,-3.6740679661530606,-0.0,0.0,5.3698913561629354e-05,9.397959149544803e-05
454,0.0,0.0,0.0002166664653889816,0.0001136964192978836,pseudo-voigt,0.3138864251605748,0.8974277106079799,0.0,-25.718475763071908,-25.718475763071908,0.0,0.0,0.0002166664653889816,0.0001136964192978836
455,0.0,0.0,0.00022471640284679381,0.00017143003586608625,pseudo-voigt,0.2917360265989019,0.722048793647543,0.0,-41.62966016923437,-41.62966016923437,0.0,0.0,0.00022471640284679381,0.00017143003586608625
456,0.0,0.0,0.0002584745831661129,0.0001286273034619206,pseudo-voigt,0.3291585996954852,0.6350557057345763,0.0,56.32593203384687,56.32593203384687,0.0,-0.0,0.0002584745831661129,0.0001286273034619206
457,0.0,0.0,0.00012512845347726457,0.00021075830339198752,pseudo-voigt,0.2706295446693443,0.7154746305456928,0.0,-34.28152423692808,-34.28152423692808,-0.0,0.0,0.00012512845347726457,0.00021075830339198752
458,0.0,0.0,9.980990620194234e-05,0.00017899724734671502,pseudo-voigt,0.3198352405207273,0.8105860118627455,0.0,-3.6795986884145435,-3.6795986884145435,0.0,0.0,9.980990620194234e-05,0.00017899724734671502
459,0.0,0.0,3.623704417568128e-05,0.00027331503853326837,pseudo-voigt,0.2867180634708465,0.811066277797208,0.0,-48.961203934756355,-48.961203934756355,-0.0,0.0,3.623704417568128e-05,0.00027331503853326837
460,0.0,0.0,0.00011580914852001203,0.00030860512651228057,pseudo-voigt,0.3293211346968556,0.6918638000912287,0.0,48.96120393475636,48.96120393475636,0.0,0.0,0.00011580914852001203,0.00030860512651228057
461,0.0,0.0,0.00012526765618783527,0.000393594621965196,pseudo-voigt,0.2736059411902091,0.9239101804968639,0.0,78.39799344207273,78.39799344207273,0.0,-0.0,0.00012526765618783527,0.000393594621965196
462,0.0,0.0,9.90390549635844e-05,0.000370851311131043,pseudo-voigt,0.3174224151924701,0.7601860349930861,0.0,-71.03879606524367,-71.03879606524367,-0.0,0.0,9.90390549635844e-05,0.000370851311131043
463,0.0,0.0,0.0001738582749178108,0.00017000687225270756,pseudo-voigt,0.3077497982692164,0.7645207377921883,0.0,-11.03879606524363,-11.03879606524363,0.0,0.0,0.0001738582749178108,0.00017000687225270756
464,0.0,0.0,0.00020099885508631347,0.00034762138467771454,pseudo-voigt,0.3382862689998462,0.8702516397265037,0.0,-71.03879606524362,-71.03879606524362,0.0,0.0,0.00020099885508631347,0.00034762138467771454
465,0.0,0.0,0.00017412010046722153,0.000363666681541053,pseudo-voigt,0.2855247597550824,0.8026203606285021,0.0,78.39799344207272,78.39799344207272,0.0,0.0,0.00017412010046722153,0.000363666681541053
466,0.0,0.0,0.00021736700036537255,0.00030502220319467073,pseudo-voigt,0.3339244537118828,0.8566733607751232,0.0,63.68437813030326,63.68437813030326,0.0,-0.0,0.00021736700036537255,0.00030502220319467073
467,0.0,0.0,8.362126378760311e-05,0.000287726505827353,pseudo-voigt,0.2832010466640801,0.8234380222486734,0.0,-56.31562186969674,-56.31562186969674,0.0,0.0,8.362126378760311e-05,0.000287726505827353
468,0.0,0.0,0.00033897832178582306,0.00015880751077600698,pseudo-voigt,0.2642716694709522,0.7728854157540695,0.0,-71.05313439090978,-71.05313439090978,-0.0,0.0,0.00033897832178582306,0.00015880751077600698
469,0.0,0.0,0.00020259807814679032,0.00023136574345539908,pseudo-voigt,0.2668919475238249,0.7713231548977357,0.0,-25.790646912122853,-25.790646912122853,-0.0,0.0,0.00020259807814679032,0.00023136574345539908
470,0.0,0.0,0.00018883116435704274,0.0002809919240984666,pseudo-voigt,0.3302245020462861,0.8185546205270269,0.0,-48.94686560909025,-48.94686560909025,-0.0,0.0,0.00018883116435704274,0.0002809919240984666
471,0.0,0.0,0.00028432116171003607,0.00012377069430449857,pseudo-voigt,0.2760039715385822,0.6502841313201948,0.0,71.05313439090978,71.05313439090978,0.0,-0.0,0.00028432116171003607,0.00012377069430449857
472,0.0,0.0,0.0001484014008223682,0.0002729176037307417,pseudo-voigt,0.3126031297683645,0.6823716304654682,0.0,48.946865609090224,48.946865609090224,0.0,-0.0,0.0001484014008223682,0.0002729176037307417
473,0.0,0.0,6.803894260599734e-05,4.9718039457535716e-05,pseudo-voigt,0.2945277804575771,0.7246956787248391,0.0,-3.6843781303032728,-3.6843781303032728,-0.0,0.0,6.803894260599734e-05,4.9718039457535716e-05
474,0.0,0.0,3.41909214949746e-05,0.000126857735119587,pseudo-voigt,0.2865301628643214,0.808953020376069,0.0,-0.0,-0.0,0.0,0.0,3.41909214949746e-05,0.000126857735119587
475,0.0,0.0,0.0003423176205325776,0.00010166657147157046,pseudo-voigt,0.3161187809410472,0.7755882300615321,0.0,79.67226471564129,79.67226471564129,0.0,0.0,0.0003423176205325776,0.00010166657147157046
476,0.0,0.0,1.788489078274986e-05,0.0001918140535538282,pseudo-voigt,0.2956508600576351,0.6527454095396562,0.0,-26.22968628752176,-26.22968628752176,-0.0,0.0,1.788489078274986e-05,0.0001918140535538282
