MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay
154,0.0,0.0,5e-08,5e-08,gaussian,0.2857115279951287,0.7749220927957969,0.0,5e-08,5e-08
155,0.0,0.0,5e-08,5e-08,gaussian,0.3217041553387907,0.8675945250338677,0.0,5e-08,5e-08
156,0.0,0.0,5e-08,5e-08,gaussian,0.3179063603066808,0.8191069562005996,0.0,5e-08,5e-08
157,0.0,0.0,5e-08,5e-08,gaussian,0.268414768693245,0.835261628673522,0.0,5e-08,5e-08
158,0.0,0.0,5e-08,5e-08,gaussian,0.3134705430915554,0.8569017758767059,0.0,5e-08,5e-08
159,0.0,0.0,5e-08,5e-08,gaussian,0.3381462573989027,0.7711071623524809,0.0,5e-08,5e-08
160,0.0,0.0,5e-08,5e-08,gaussian,0.2712161378442693,0.763543880231777,0.0,5e-08,5e-08
161,0.0,0.0,5e-08,5e-08,gaussian,0.2991487418585891,0.7581105882734461,0.0,5e-08,5e-08
162,0.0,0.0,5e-08,5e-08,gaussian,0.2733119111387183,0.674936628083454,0.0,5e-08,5e-08
163,0.0,0.0,5e-08,5e-08,gaussian,0.2847130734156788,0.7915134641793973,0.0,5e-08,5e-08
164,0.0,0.0,5e-08,5e-08,gaussian,0.298059156986887,0.7459895942210214,0.0,5e-08,5e-08
165,0.0,0.0,5e-08,5e-08,gaussian,0.2510955025018893,0.8802654865298766,0.0,5e-08,5e-08
166,0.0,0.0,5e-08,5e-08,gaussian,0.2966693319098497,0.7472533423545831,0.0,5e-08,5e-08
167,0.0,0.0,5e-08,5e-08,gaussian,0.3111858639255905,0.8048533998122825,0.0,5e-08,5e-08
168,0.0,0.0,5e-08,5e-08,gaussian,0.3257051459721748,0.8034880193385695,0.0,5e-08,5e-08
169,0.0,0.0,5e-08,5e-08,gaussian,0.3369302249503734,0.808075117018397,0.0,5e-08,5e-08
170,0.0,0.0,5e-08,5e-08,gaussian,0.2575312444294977,0.7902678967832975,0.0,5e-08,5e-08
171,0.0,0.0,5e-08,5e-08,gaussian,0.3264066499852396,0.8676829440258785,0.0,5e-08,5e-08
172,0.0,0.0,5e-08,5e-08,gaussian,0.2897205642132952,0.738500800345655,0.0,5e-08,5e-08
173,0.0,0.0,5e-08,5e-08,gaussian,0.3202313573183465,0.5409811091536167,0.0,5e-08,5e-08
174,0.0,0.0,5e-08,5e-08,gaussian,0.3404879439594564,0.7459507740928875,0.0,5e-08,5e-08
