MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay,theta_degrees,theta_position
51,-4.60158005851735e-06,-0.00011257697220691793,5e-08,5e-08,gaussian,0.271122891690588,0.7825834185617647,0.0,0.00011260634002965564,3.815939653308786e-06,5e-08,5e-08,-85.71847576307187,-85.71847576307187
52,3.5947963240441856e-06,-0.00010904269722931357,5e-08,5e-08,gaussian,0.2795895028361949,0.8378827445866552,0.0,-0.00010900676467410867,4.556054755883274e-06,5e-08,5e-08,85.71847576307192,85.71847576307192
53,1.8286120540242788e-06,-1.0640122628735836e-05,5e-08,5e-08,gaussian,0.2608497694336787,0.6879932100812882,0.0,-5.088742235175182e-06,9.521593042269956e-06,5e-08,5e-08,18.370339830765644,18.370339830765644
54,-4.2161696617650064e-07,-1.4694630173915207e-05,5e-08,5e-08,gaussian,0.2354027075260376,0.8246789121718295,0.0,6.756579649133804e-06,1.3055977491525408e-05,5e-08,5e-08,-25.718475763071865,-25.718475763071865
55,-4.709093202672926e-06,0.00011035978970365734,5e-08,5e-08,gaussian,0.3255146802593751,0.8061059066277314,0.0,0.00010904349904050593,-1.7634456590156533e-05,5e-08,5e-08,78.37033983076563,78.37033983076563
56,-3.0326498934457206e-08,0.00011938742444420647,5e-08,5e-08,gaussian,0.2458898561488594,0.8297500008190792,0.0,-0.00011694263657718011,2.4037008663625824e-05,5e-08,5e-08,78.37033983076564,78.37033983076564
57,-2.757103258154251e-06,1.3108935401279096e-05,5e-08,5e-08,gaussian,0.2998566058129453,0.8275641857906526,0.0,5.212532821049682e-06,-1.233998814101995e-05,5e-08,5e-08,11.022203898459395,11.022203898459395
58,-3.265732132051926e-06,-3.299989923594991e-05,5e-08,5e-08,gaussian,0.2430410531982918,0.7153650514984444,0.0,-7.316478820212217e-06,3.234389422463767e-05,5e-08,5e-08,18.397993442072746,18.397993442072746
59,4.408330059579122e-06,-4.707585341271198e-05,5e-08,5e-08,gaussian,0.232737543598911,0.7194818078169019,0.0,-3.455256419746095e-05,3.2275217363012055e-05,5e-08,5e-08,41.60200655792727,41.60200655792727
60,-1.542805491296215e-06,-4.8330105197076026e-05,5e-08,5e-08,gaussian,0.2904694313081103,0.7507703295284872,0.0,3.9362416012874547e-05,-2.808521893761568e-05,5e-08,5e-08,56.32040131158546,56.32040131158546
61,-3.066525417166675e-06,1.2933644016295269e-06,5e-08,5e-08,gaussian,0.3071084242676698,0.7436336838883897,0.0,-1.4343381493253504e-06,3.003172269937521e-06,5e-08,5e-08,-41.60200655792727,-41.60200655792727
62,-2.2264824541127145e-06,-7.307967321074718e-06,5e-08,5e-08,gaussian,0.2945792506167218,0.5853906161154707,0.0,3.5845705684005876e-06,6.746440863486765e-06,5e-08,5e-08,-11.038796065243645,-11.038796065243645
63,5.056512290995468e-06,0.00013278152993714075,5e-08,5e-08,gaussian,0.2587459073215618,0.9544660876082602,0.0,-0.00013279173687264477,-4.780965105819515e-06,5e-08,5e-08,-85.75719081890182,-85.75719081890182
64,1.1405399243240449e-05,9.552231114958511e-05,5e-08,5e-08,gaussian,0.3186341386781596,0.751272503255551,0.0,-9.40450884791771e-05,-2.025133062787764e-05,5e-08,5e-08,-71.03879606524367,-71.03879606524367
65,-3.598268833054437e-06,6.912792439494201e-05,5e-08,5e-08,gaussian,0.307395470925367,0.823914407432985,0.0,6.699186109843589e-05,1.7427220556233922e-05,5e-08,5e-08,-78.39799344207273,-78.39799344207273
66,4.295396534626876e-06,-6.584405408642787e-05,5e-08,5e-08,gaussian,0.3015660653507908,0.7987206180604955,0.0,5.247409570293916e-05,-4.0004489374130336e-05,5e-08,5e-08,48.94686560909024,48.94686560909024
67,-6.652527661216242e-06,-0.00012885655757364497,5e-08,5e-08,gaussian,0.310718945831125,0.7638297014278899,0.0,-0.0001280206659061047,1.609278269818058e-05,5e-08,5e-08,85.79064691212281,85.79064691212281
68,1.601901508092358e-06,-7.247759005365771e-05,5e-08,5e-08,gaussian,0.2776729361158065,0.5631398710210814,0.0,-6.425627000545501e-05,-3.3566336014134076e-05,5e-08,5e-08,-63.68437813030326,-63.68437813030326
