MM_or_index,before_sigmax,after_sigmax,before_sigmay,after_sigmay,before_mux,after_mux,before_muy,after_muy,changed
29,0.00019762944896749122,,0.00019762944896749122,,4.128048535584903e-05,4.128048535584903e-05,-6.467344453372647e-06,-6.467344453372647e-06,True
30,0.00019762944896749122,,0.00019762944896749122,,8.048752215684615e-05,8.048752215684615e-05,-2.3318710601603218e-05,-2.3318710601603218e-05,True
31,0.00019762944896749122,,0.00019762944896749122,,4.2870154570099085e-05,4.2870154570099085e-05,-2.02395715420769e-05,-2.02395715420769e-05,True
32,0.00019762944896749122,,0.00019762944896749122,,1.5492233809016842e-05,1.5492233809016842e-05,-9.316765717953045e-06,-9.316765717953045e-06,True
33,0.00019762944896749122,,0.00019762944896749122,,-1.3007394098004431e-05,-1.3007394098004431e-05,1.325688391322883e-05,1.325688391322883e-05,True
34,0.00019762944896749122,,0.00019762944896749122,,-4.915349437787029e-05,-4.915349437787029e-05,5.742450750937628e-05,5.742450750937628e-05,True
35,0.00019762944896749122,,0.00019762944896749122,,-2.729310466479099e-05,-2.729310466479099e-05,4.3757053065322164e-05,4.3757053065322164e-05,True
36,0.00019762944896749122,,0.00019762944896749122,,3.402449192567186e-05,3.402449192567186e-05,-4.14029942006671e-06,-4.14029942006671e-06,True
37,0.00019762944896749122,,0.00019762944896749122,,8.964467725700197e-05,8.964467725700197e-05,-2.409772387165429e-05,-2.409772387165429e-05,True
38,0.00019762944896749122,,0.00019762944896749122,,5.4865168829455574e-05,5.4865168829455574e-05,-2.3686322471084547e-05,-2.3686322471084547e-05,True
39,0.00019762944896749122,,0.00019762944896749122,,1.9389998461861333e-05,1.9389998461861333e-05,-9.990071177120947e-06,-9.990071177120947e-06,True
40,0.00019762944896749122,,0.00019762944896749122,,-1.7386552829822812e-05,-1.7386552829822812e-05,1.8679482642753947e-05,1.8679482642753947e-05,True
41,0.00019762944896749122,,0.00019762944896749122,,-5.3378350276001776e-05,-5.3378350276001776e-05,6.436832163706573e-05,6.436832163706573e-05,True
42,0.00019762944896749122,,0.00019762944896749122,,-2.3267145996027675e-05,-2.3267145996027675e-05,4.02325817238794e-05,4.02325817238794e-05,True
43,0.00019762944896749122,,0.00019762944896749122,,3.6142695163585286e-05,3.6142695163585286e-05,-2.7968835861644856e-06,-2.7968835861644856e-06,True
44,0.00019762944896749122,,0.00019762944896749122,,9.591290217794772e-05,9.591290217794772e-05,-2.4070338610892365e-05,-2.4070338610892365e-05,True
45,0.00019762944896749122,,0.00019762944896749122,,6.438553329624674e-05,6.438553329624674e-05,-2.5947845961699113e-05,-2.5947845961699113e-05,True
46,0.00019762944896749122,,0.00019762944896749122,,2.2739043796410014e-05,2.2739043796410014e-05,-1.0245641617335225e-05,-1.0245641617335225e-05,True
47,0.00019762944896749122,,0.00019762944896749122,,-2.0371216641321126e-05,-2.0371216641321126e-05,2.3031586023631016e-05,2.3031586023631016e-05,True
48,0.00019762944896749122,,0.00019762944896749122,,-5.522847556769289e-05,-5.522847556769289e-05,6.870575589209908e-05,6.870575589209908e-05,True
49,0.00019762944896749122,,0.00019762944896749122,,-2.231835844442782e-05,-2.231835844442782e-05,4.184539917160087e-05,4.184539917160087e-05,True
50,0.00019762944896749122,,0.00019762944896749122,,3.5503846914097875e-05,3.5503846914097875e-05,-5.571957609756797e-07,-5.571957609756797e-07,True
51,0.00019762944896749122,,0.00019762944896749122,,9.616906748499584e-05,9.616906748499584e-05,-1.9188491715748583e-05,-1.9188491715748583e-05,True
52,0.00019762944896749122,,0.00019762944896749122,,9.589144887369678e-05,9.589144887369678e-05,-3.172476262433722e-05,-3.172476262433722e-05,True
53,0.00019762944896749122,,0.00019762944896749122,,1.805686410590201e-05,1.805686410590201e-05,-5.341866271820332e-06,-5.341866271820332e-06,True
54,0.00019762944896749122,,0.00019762944896749122,,3.4284446120674066e-05,3.4284446120674066e-05,-1.5938057342654204e-05,-1.5938057342654204e-05,True
55,0.00019762944896749122,,0.00019762944896749122,,-4.241037978562703e-05,-4.241037978562703e-05,4.676512151031978e-05,4.676512151031978e-05,True
56,0.00019762944896749122,,0.00019762944896749122,,-5.238481251489009e-05,-5.238481251489009e-05,7.110983396342432e-05,7.110983396342432e-05,True
57,0.00019762944896749122,,0.00019762944896749122,,-1.9061613550995443e-05,-1.9061613550995443e-05,4.00151334722359e-05,4.00151334722359e-05,True
58,0.00019762944896749122,,0.00019762944896749122,,4.062154899856249e-05,4.062154899856249e-05,1.5403711795418303e-06,1.5403711795418303e-06,True
59,0.00019762944896749122,,0.00019762944896749122,,0.0001000886511504366,0.0001000886511504366,-1.7797709368889085e-05,-1.7797709368889085e-05,True
60,0.00019762944896749122,,0.00019762944896749122,,9.978814445008762e-05,9.978814445008762e-05,-3.0823061765922204e-05,-3.0823061765922204e-05,True
61,0.00019762944896749122,,0.00019762944896749122,,1.995908567640185e-05,1.995908567640185e-05,-3.568019876906016e-06,-3.568019876906016e-06,True
62,0.00019762944896749122,,0.00019762944896749122,,4.007897070890886e-05,4.007897070890886e-05,-1.732793443606805e-05,-1.732793443606805e-05,True
63,0.00019762944896749122,,0.00019762944896749122,,-4.120328255415497e-05,-4.120328255415497e-05,4.7591662903913666e-05,4.7591662903913666e-05,True
64,0.00019762944896749122,,0.00019762944896749122,,-5.012177948753694e-05,-5.012177948753694e-05,7.14313704871098e-05,7.14313704871098e-05,True
65,0.00019762944896749122,,0.00019762944896749122,,-1.797928622049762e-05,-1.797928622049762e-05,4.2032583056093064e-05,4.2032583056093064e-05,True
66,0.00019762944896749122,,0.00019762944896749122,,3.340600270100996e-05,3.340600270100996e-05,5.267687442136485e-06,5.267687442136485e-06,True
67,0.00019762944896749122,,0.00019762944896749122,,9.439876327903756e-05,9.439876327903756e-05,-1.3231566777053253e-05,-1.3231566777053253e-05,True
68,0.00019762944896749122,,0.00019762944896749122,,9.405750967802274e-05,9.405750967802274e-05,-2.588821360719168e-05,-2.588821360719168e-05,True
69,0.00019762944896749122,,0.00019762944896749122,,2.9810799796797388e-05,2.9810799796797388e-05,-6.514569302659655e-06,-6.514569302659655e-06,True
70,0.00019762944896749122,,0.00019762944896749122,,3.235228811815626e-05,3.235228811815626e-05,-8.689257332677232e-06,-8.689257332677232e-06,True
71,0.00019762944896749122,,0.00019762944896749122,,-3.336344630348085e-05,-3.336344630348085e-05,4.4353084100339466e-05,4.4353084100339466e-05,True
72,0.00019762944896749122,,0.00019762944896749122,,-4.573636356672223e-05,-4.573636356672223e-05,6.97669621303356e-05,6.97669621303356e-05,True
73,0.00019762944896749122,,0.00019762944896749122,,-1.171534689045386e-05,-1.171534689045386e-05,3.631471672957224e-05,3.631471672957224e-05,True
74,0.00019762944896749122,,0.00019762944896749122,,3.228851629699398e-05,3.228851629699398e-05,9.483579962426845e-06,9.483579962426845e-06,True
75,0.00019762944896749122,,0.00019762944896749122,,8.723976467334377e-05,8.723976467334377e-05,-5.504315775871397e-06,-5.504315775871397e-06,True
76,0.00019762944896749122,,0.00019762944896749122,,0.00010536538206534698,0.00010536538206534698,-2.2143438003640588e-05,-2.2143438003640588e-05,True
77,0.00019762944896749122,,0.00019762944896749122,,7.333259387381659e-05,7.333259387381659e-05,-2.0543992021147706e-05,-2.0543992021147706e-05,True
78,0.00019762944896749122,,0.00019762944896749122,,3.390638949924213e-05,3.390638949924213e-05,-5.344504801424128e-06,-5.344504801424128e-06,True
79,0.00019762944896749122,,0.00019762944896749122,,-8.43374789242568e-06,-8.43374789242568e-06,2.354076320166832e-05,2.354076320166832e-05,True
80,0.00019762944896749122,,0.00019762944896749122,,-4.754819216455983e-05,-4.754819216455983e-05,6.431000580576945e-05,6.431000580576945e-05,True
81,0.00019762944896749122,,0.00019762944896749122,,-4.0846753781893594e-05,-4.0846753781893594e-05,7.036379383645145e-05,7.036379383645145e-05,True
82,0.00019762944896749122,,0.00019762944896749122,,-7.71535196974114e-06,-7.71535196974114e-06,3.4139282097868956e-05,3.4139282097868956e-05,True
83,0.00019762944896749122,,0.00019762944896749122,,2.704430322395895e-05,2.704430322395895e-05,8.324529714266685e-06,8.324529714266685e-06,True
84,0.00019762944896749122,,0.00019762944896749122,,7.138461666267772e-05,7.138461666267772e-05,-5.692086287279326e-06,-5.692086287279326e-06,True
85,0.00019762944896749122,,0.00019762944896749122,,0.00010257004777488438,0.00010257004777488438,-2.382746944773756e-05,-2.382746944773756e-05,True
86,0.00019762944896749122,,0.00019762944896749122,,9.54079553683461e-05,9.54079553683461e-05,-3.1141169837489205e-05,-3.1141169837489205e-05,True
87,0.00019762944896749122,,0.00019762944896749122,,3.249047966257828e-05,3.249047966257828e-05,-2.6694852974401454e-06,-2.6694852974401454e-06,True
88,0.00019762944896749122,,0.00019762944896749122,,-3.448371737358594e-05,-3.448371737358594e-05,5.0153398343686886e-05,5.0153398343686886e-05,True
89,0.00019762944896749122,,0.00019762944896749122,,-5.59986254398014e-05,-5.59986254398014e-05,8.399888992936619e-05,8.399888992936619e-05,True
90,0.00019762944896749122,,0.00019762944896749122,,-4.028366540841441e-05,-4.028366540841441e-05,8.204476567619147e-05,8.204476567619147e-05,True
91,0.00019762944896749122,,0.00019762944896749122,,-1.1440487476477572e-05,-1.1440487476477572e-05,4.9900488676518264e-05,4.9900488676518264e-05,True
92,0.00019762944896749122,,0.00019762944896749122,,2.1611126203182406e-05,2.1611126203182406e-05,1.0703931984462389e-05,1.0703931984462389e-05,True
93,0.00019762944896749122,,0.00019762944896749122,,7.995564476369608e-05,7.995564476369608e-05,-5.3190733168674945e-06,-5.3190733168674945e-06,True
94,0.00019762944896749122,,0.00019762944896749122,,0.0001074857409121101,0.0001074857409121101,-2.3229858488374414e-05,-2.3229858488374414e-05,True
95,0.00019762944896749122,,0.00019762944896749122,,8.804545779007226e-05,8.804545779007226e-05,-2.6874408231090066e-05,-2.6874408231090066e-05,True
96,0.00019762944896749122,,0.00019762944896749122,,3.16886959603813e-05,3.16886959603813e-05,-1.1638099529598216e-06,-1.1638099529598216e-06,True
97,0.00019762944896749122,,0.00019762944896749122,,-2.6666910481727913e-05,-2.6666910481727913e-05,4.458592782171571e-05,4.458592782171571e-05,True
98,0.00019762944896749122,,0.00019762944896749122,,-5.432266480074042e-05,-5.432266480074042e-05,8.011095627329989e-05,8.011095627329989e-05,True
99,0.00019762944896749122,,0.00019762944896749122,,-4.10647919741878e-05,-4.10647919741878e-05,8.028469829311732e-05,8.028469829311732e-05,True
100,0.00019762944896749122,,0.00019762944896749122,,-7.419451044875736e-06,-7.419451044875736e-06,4.379293730262049e-05,4.379293730262049e-05,True
101,0.00019762944896749122,,0.00019762944896749122,,-7.279376436742348e-07,-7.279376436742348e-07,-3.860142458445669e-06,-3.860142458445669e-06,True
102,0.00019762944896749122,,0.00019762944896749122,,-1.5437220734024699e-06,-1.5437220734024699e-06,-4.634789025203438e-06,-4.634789025203438e-06,True
103,0.00019762944896749122,,0.00019762944896749122,,3.493445192458145e-07,3.493445192458145e-07,1.0761473110833363e-05,1.0761473110833363e-05,True
104,0.00019762944896749122,,0.00019762944896749122,,2.575941513953648e-06,2.575941513953648e-06,9.92983375048273e-06,9.92983375048273e-06,True
105,0.00019762944896749122,,0.00019762944896749122,,-1.269307406123327e-06,-1.269307406123327e-06,-5.810108478519486e-06,-5.810108478519486e-06,True
106,0.00019762944896749122,,0.00019762944896749122,,-2.5557232421080833e-06,-2.5557232421080833e-06,-1.0834020466308634e-05,-1.0834020466308634e-05,True
107,0.00019762944896749122,,0.00019762944896749122,,8.241681204570247e-07,8.241681204570247e-07,1.5979887466365072e-05,1.5979887466365072e-05,True
108,0.00019762944896749122,,0.00019762944896749122,,3.5522213602390954e-06,3.5522213602390954e-06,1.0681006874212959e-05,1.0681006874212959e-05,True
109,0.00019762944896749122,,0.00019762944896749122,,1.8992700478735223e-06,1.8992700478735223e-06,-1.3652124036637021e-05,-1.3652124036637021e-05,True
110,0.00019762944896749122,,0.00019762944896749122,,-2.3364876349801046e-06,-2.3364876349801046e-06,-5.511249758463723e-06,-5.511249758463723e-06,True
111,0.00019762944896749122,,0.00019762944896749122,,-6.373465075507705e-07,-6.373465075507705e-07,5.654815042435934e-06,5.654815042435934e-06,True
112,0.00019762944896749122,,0.00019762944896749122,,4.566794369206632e-06,4.566794369206632e-06,1.4884239675188911e-05,1.4884239675188911e-05,True
113,0.00019762944896749122,,0.00019762944896749122,,7.935379973404135e-06,7.935379973404135e-06,-2.7311003645909973e-05,-2.7311003645909973e-05,True
114,0.00019762944896749122,,0.00019762944896749122,,1.0585868585090337e-06,1.0585868585090337e-06,-2.0803156540894082e-05,-2.0803156540894082e-05,True
115,0.00019762944896749122,,0.00019762944896749122,,-1.9360133143420565e-06,-1.9360133143420565e-06,-1.325261079105092e-06,-1.325261079105092e-06,True
116,0.00019762944896749122,,0.00019762944896749122,,1.9900957718701042e-06,1.9900957718701042e-06,1.6589903314035365e-05,1.6589903314035365e-05,True
117,0.00019762944896749122,,0.00019762944896749122,,1.0573106446368716e-05,1.0573106446368716e-05,2.7507679440858162e-05,2.7507679440858162e-05,True
118,0.00019762944896749122,,0.00019762944896749122,,8.101336046245275e-06,8.101336046245275e-06,-2.587621394959942e-05,-2.587621394959942e-05,True
119,0.00019762944896749122,,0.00019762944896749122,,3.187632074743453e-06,3.187632074743453e-06,-3.22306005726028e-05,-3.22306005726028e-05,True
120,0.00019762944896749122,,0.00019762944896749122,,-1.092128307070842e-06,-1.092128307070842e-06,-5.292210381428264e-06,-5.292210381428264e-06,True
121,0.00019762944896749122,,0.00019762944896749122,,5.856070029889451e-06,5.856070029889451e-06,2.427037786364273e-05,2.427037786364273e-05,True
122,0.00019762944896749122,,0.00019762944896749122,,1.1306617900512008e-05,1.1306617900512008e-05,2.4948385853048682e-05,2.4948385853048682e-05,True
123,0.00019762944896749122,,0.00019762944896749122,,1.0820209098668467e-05,1.0820209098668467e-05,-2.814663348240278e-05,-2.814663348240278e-05,True
124,0.00019762944896749122,,0.00019762944896749122,,1.2772067474696626e-05,1.2772067474696626e-05,-6.226614318028412e-05,-6.226614318028412e-05,True
125,0.00019762944896749122,,0.00019762944896749122,,1.6899602255544055e-07,1.6899602255544055e-07,-2.4981280810218503e-05,-2.4981280810218503e-05,True
126,0.00019762944896749122,,0.00019762944896749122,,2.1286580004061796e-06,2.1286580004061796e-06,9.72224954538958e-06,9.72224954538958e-06,True
127,0.00019762944896749122,,0.00019762944896749122,,1.6414646624559808e-05,1.6414646624559808e-05,5.248648755903209e-05,5.248648755903209e-05,True
128,0.00019762944896749122,,0.00019762944896749122,,1.6006598274299973e-05,1.6006598274299973e-05,3.194456579534338e-05,3.194456579534338e-05,True
129,0.00019762944896749122,,0.00019762944896749122,,1.5886491029432314e-05,1.5886491029432314e-05,-3.55913156056253e-05,-3.55913156056253e-05,True
130,0.00019762944896749122,,0.00019762944896749122,,2.0745845245375575e-05,2.0745845245375575e-05,-7.620841193657639e-05,-7.620841193657639e-05,True
131,0.00019762944896749122,,0.00019762944896749122,,6.270006278972976e-06,6.270006278972976e-06,-5.108572329494311e-05,-5.108572329494311e-05,True
132,0.00019762944896749122,,0.00019762944896749122,,1.2571678762097075e-06,1.2571678762097075e-06,-1.1926392996549346e-05,-1.1926392996549346e-05,True
133,0.00019762944896749122,,0.00019762944896749122,,7.943251129973804e-06,7.943251129973804e-06,3.014023054331499e-05,3.014023054331499e-05,True
134,0.00019762944896749122,,0.00019762944896749122,,2.45016122989469e-05,2.45016122989469e-05,6.797550180482427e-05,6.797550180482427e-05,True
135,0.00019762944896749122,,0.00019762944896749122,,2.2829577252857434e-05,2.2829577252857434e-05,4.294230728343669e-05,4.294230728343669e-05,True
136,0.00019762944896749122,,0.00019762944896749122,,1.4999660611618105e-05,1.4999660611618105e-05,-2.953719932962572e-05,-2.953719932962572e-05,True
137,0.00019762944896749122,,0.00019762944896749122,,2.513192071214887e-05,2.513192071214887e-05,-8.593364949682867e-05,-8.593364949682867e-05,True
138,0.00019762944896749122,,0.00019762944896749122,,9.270926609784852e-06,9.270926609784852e-06,-6.249535204489573e-05,-6.249535204489573e-05,True
139,0.00019762944896749122,,0.00019762944896749122,,2.6672969797424447e-06,2.6672969797424447e-06,-1.5647598952488394e-05,-1.5647598952488394e-05,True
140,0.00019762944896749122,,0.00019762944896749122,,1.009192143506045e-05,1.009192143506045e-05,3.4960858551251574e-05,3.4960858551251574e-05,True
141,0.00019762944896749122,,0.00019762944896749122,,2.8396347988081903e-05,2.8396347988081903e-05,7.566480459424296e-05,7.566480459424296e-05,True
142,0.00019762944896749122,,0.00019762944896749122,,2.168376787566649e-05,2.168376787566649e-05,3.793587708804156e-05,3.793587708804156e-05,True
143,0.00019762944896749122,,0.00019762944896749122,,1.7620604930713907e-05,1.7620604930713907e-05,-3.1685634479486087e-05,-3.1685634479486087e-05,True
144,0.00019762944896749122,,0.00019762944896749122,,2.8739196661446985e-05,2.8739196661446985e-05,-9.279018583255819e-05,-9.279018583255819e-05,True
145,0.00019762944896749122,,0.00019762944896749122,,1.2065265140956066e-05,1.2065265140956066e-05,-7.11225427929099e-05,-7.11225427929099e-05,True
146,0.00019762944896749122,,0.00019762944896749122,,4.27745377690997e-06,4.27745377690997e-06,-1.9201904477623814e-05,-1.9201904477623814e-05,True
147,0.00019762944896749122,,0.00019762944896749122,,1.2139069035623013e-05,1.2139069035623013e-05,3.693108425467917e-05,3.693108425467917e-05,True
148,0.00019762944896749122,,0.00019762944896749122,,3.144061792300406e-05,3.144061792300406e-05,7.951960830074708e-05,7.951960830074708e-05,True
149,0.00019762944896749122,,0.00019762944896749122,,2.35617601061954e-05,2.35617601061954e-05,3.7433116555553084e-05,3.7433116555553084e-05,True
150,0.00019762944896749122,,0.00019762944896749122,,1.982343304901838e-05,1.982343304901838e-05,-3.1460652583292e-05,-3.1460652583292e-05,True
151,0.00019762944896749122,,0.00019762944896749122,,3.3774115766681674e-05,3.3774115766681674e-05,-9.256783361214521e-05,-9.256783361214521e-05,True
152,0.00019762944896749122,,0.00019762944896749122,,2.2874521671308725e-05,2.2874521671308725e-05,-9.894852834876426e-05,-9.894852834876426e-05,True
153,0.00019762944896749122,,0.00019762944896749122,,6.9850403542219714e-06,6.9850403542219714e-06,-2.334787553730678e-05,-2.334787553730678e-05,True
154,0.00019762944896749122,,0.00019762944896749122,,6.341215229711556e-06,6.341215229711556e-06,-2.3256656198615362e-05,-2.3256656198615362e-05,True
155,0.00019762944896749122,,0.00019762944896749122,,2.0493889467252526e-05,2.0493889467252526e-05,5.9761214848696145e-05,5.9761214848696145e-05,True
156,0.00019762944896749122,,0.00019762944896749122,,3.514204427780228e-05,3.514204427780228e-05,7.794706747575998e-05,7.794706747575998e-05,True
157,0.00019762944896749122,,0.00019762944896749122,,2.3739974358376742e-05,2.3739974358376742e-05,3.294715402887213e-05,3.294715402887213e-05,True
158,0.00019762944896749122,,0.00019762944896749122,,2.425477638976412e-05,2.425477638976412e-05,-3.5941195162685383e-05,-3.5941195162685383e-05,True
159,0.00019762944896749122,,0.00019762944896749122,,3.699705405724634e-05,3.699705405724634e-05,-9.638801076323685e-05,-9.638801076323685e-05,True
160,0.00019762944896749122,,0.00019762944896749122,,2.540928422282538e-05,2.540928422282538e-05,-0.00010238547977289371,-0.00010238547977289371,True
161,0.00019762944896749122,,0.00019762944896749122,,9.154867964101538e-06,9.154867964101538e-06,-2.3013668540684294e-05,-2.3013668540684294e-05,True
162,0.00019762944896749122,,0.00019762944896749122,,8.014327205618201e-06,8.014327205618201e-06,-3.0831230457595305e-05,-3.0831230457595305e-05,True
163,0.00019762944896749122,,0.00019762944896749122,,2.2121915013445967e-05,2.2121915013445967e-05,5.870288245979491e-05,5.870288245979491e-05,True
164,0.00019762944896749122,,0.00019762944896749122,,3.7019626980108774e-05,3.7019626980108774e-05,7.61760213376316e-05,7.61760213376316e-05,True
165,0.00019762944896749122,,0.00019762944896749122,,2.6462891137518742e-05,2.6462891137518742e-05,3.294392931990314e-05,3.294392931990314e-05,True
166,0.00019762944896749122,,0.00019762944896749122,,2.3418292709669232e-05,2.3418292709669232e-05,-2.8459787795955416e-05,-2.8459787795955416e-05,True
167,0.00019762944896749122,,0.00019762944896749122,,3.8003471324365206e-05,3.8003471324365206e-05,-9.106599432509159e-05,-9.106599432509159e-05,True
168,0.00019762944896749122,,0.00019762944896749122,,2.681730222980568e-05,2.681730222980568e-05,-9.794562327280848e-05,-9.794562327280848e-05,True
169,0.00019762944896749122,,0.00019762944896749122,,1.105520060109002e-05,1.105520060109002e-05,-3.219795975522872e-05,-3.219795975522872e-05,True
170,0.00019762944896749122,,0.00019762944896749122,,1.1098991063956888e-05,1.1098991063956888e-05,-2.119170206869403e-05,-2.119170206869403e-05,True
171,0.00019762944896749122,,0.00019762944896749122,,2.3799145412323682e-05,2.3799145412323682e-05,5.458806967446485e-05,5.458806967446485e-05,True
172,0.00019762944896749122,,0.00019762944896749122,,3.859833161515569e-05,3.859833161515569e-05,7.461263650706472e-05,7.461263650706472e-05,True
173,0.00019762944896749122,,0.00019762944896749122,,2.566993649823029e-05,2.566993649823029e-05,2.7108863906953657e-05,2.7108863906953657e-05,True
174,0.00019762944896749122,,0.00019762944896749122,,2.603307711874463e-05,2.603307711874463e-05,-2.573219931196733e-05,-2.573219931196733e-05,True
175,0.00019762944896749122,,0.00019762944896749122,,4.080203196419797e-05,4.080203196419797e-05,-8.194628955707612e-05,-8.194628955707612e-05,True
176,0.00019762944896749122,,0.00019762944896749122,,3.568945831790118e-05,3.568945831790118e-05,-0.00010798227750957355,-0.00010798227750957355,True
177,0.00019762944896749122,,0.00019762944896749122,,2.062061203596586e-05,2.062061203596586e-05,-7.812626500528469e-05,-7.812626500528469e-05,True
178,0.00019762944896749122,,0.00019762944896749122,,1.397728114297644e-05,1.397728114297644e-05,-2.66800223922854e-05,-2.66800223922854e-05,True
179,0.00019762944896749122,,0.00019762944896749122,,1.9014092968956387e-05,1.9014092968956387e-05,2.927905879971963e-05,2.927905879971963e-05,True
180,0.00019762944896749122,,0.00019762944896749122,,3.446113021105533e-05,3.446113021105533e-05,7.904914146871796e-05,7.904914146871796e-05,True
181,0.00019762944896749122,,0.00019762944896749122,,4.1953993133169266e-05,4.1953993133169266e-05,7.314417714896255e-05,7.314417714896255e-05,True
182,0.00019762944896749122,,0.00019762944896749122,,2.5739269913918458e-05,2.5739269913918458e-05,2.44143099138491e-05,2.44143099138491e-05,True
183,0.00019762944896749122,,0.00019762944896749122,,2.3185591169341892e-05,2.3185591169341892e-05,-2.2802043132637154e-05,-2.2802043132637154e-05,True
184,0.00019762944896749122,,0.00019762944896749122,,3.41845951215316e-05,3.41845951215316e-05,-7.22087987783161e-05,-7.22087987783161e-05,True
185,0.00019762944896749122,,0.00019762944896749122,,3.3921303319409035e-05,3.3921303319409035e-05,-0.00011064145685557883,-0.00011064145685557883,True
186,0.00019762944896749122,,0.00019762944896749122,,2.2931833849396996e-05,2.2931833849396996e-05,-0.00010525129709825913,-0.00010525129709825913,True
187,0.00019762944896749122,,0.00019762944896749122,,1.5931702034856535e-05,1.5931702034856535e-05,-2.3228396592254244e-05,-2.3228396592254244e-05,True
188,0.00019762944896749122,,0.00019762944896749122,,3.0336449763653376e-05,3.0336449763653376e-05,6.954128675339863e-05,6.954128675339863e-05,True
