MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay
41,-1.0258642312311099e-05,0.0001247231049714928,5e-08,5e-08,gaussian,0.2833000697773581,0.7059686638956498,0.0,-9.355635204266523e-05,7.193085712106263e-05,5e-08,5e-08
42,-2.693297212265596e-06,8.220489821575508e-05,5e-08,5e-08,gaussian,0.3113136834126231,0.844130929963957,0.0,-3.0468698035950907e-05,8.195609388434149e-05,5e-08,5e-08
43,-4.11263160492507e-06,4.919925913191949e-07,5e-08,5e-08,gaussian,0.2921438972591241,0.5975893375462631,0.0,-8.652528087952124e-06,-5.2894999527494164e-05,5e-08,5e-08
44,-3.4699543808807897e-06,-6.366875312713862e-05,5e-08,5e-08,gaussian,0.3192992405575061,0.6487573560824341,0.0,7.015183031043059e-05,-1.2204722437300517e-05,5e-08,5e-08
45,1.8957071044009749e-06,-4.5822771448415676e-05,5e-08,5e-08,gaussian,0.3265354737551159,0.7644882917830554,0.0,4.560268889981252e-05,-6.153009984561961e-05,5e-08,5e-08
46,1.669784482110521e-06,-8.870517108054525e-06,5e-08,5e-08,gaussian,0.2722103463814949,0.8049869208055183,0.0,8.90046012984672e-07,-6.267851063755877e-05,5e-08,5e-08
47,8.014510577629865e-06,4.139325948368596e-05,5e-08,5e-08,gaussian,0.2954614525722571,0.7936139864460331,0.0,-2.647689321758503e-05,8.090992767836714e-08,5e-08,5e-08
48,9.184879310911438e-06,7.70494396922318e-05,5e-08,5e-08,gaussian,0.2542437826477947,0.6829559485972044,0.0,-7.780830477049577e-05,1.9679431179140968e-05,5e-08,5e-08
49,8.453030977891097e-06,5.972889848972791e-05,5e-08,5e-08,gaussian,0.2338762247758548,0.7801107590182444,0.0,-8.494693008845753e-05,1.544970986763724e-05,5e-08,5e-08
50,2.544648133643265e-06,-7.217947865698812e-05,5e-08,5e-08,gaussian,0.2514932641781377,0.755203103067283,0.0,7.69247318890175e-05,8.338689723951063e-05,5e-08,5e-08
51,-4.60158005851735e-06,-0.00011257697220691793,5e-08,5e-08,gaussian,0.271122891690588,0.7825834185617647,0.0,0.00013387963851898516,5.445436001682396e-05,5e-08,5e-08
52,3.5947963240441856e-06,-0.00010904269722931357,5e-08,5e-08,gaussian,0.2795895028361949,0.8378827445866552,0.0,0.00010122613708716047,-0.00010348552672617134,5e-08,5e-08
53,1.8286120540242788e-06,-1.0640122628735836e-05,5e-08,5e-08,gaussian,0.2608497694336787,0.6879932100812882,0.0,2.853705622554312e-05,-2.4291750563719322e-05,5e-08,5e-08
54,-4.2161696617650064e-07,-1.4694630173915207e-05,5e-08,5e-08,gaussian,0.2354027075260376,0.8246789121718295,0.0,5.037668904988152e-05,1.4360909036134105e-06,5e-08,5e-08
55,-4.709093202672926e-06,0.00011035978970365734,5e-08,5e-08,gaussian,0.3255146802593751,0.8061059066277314,0.0,-0.00013921379918039082,-2.5709343559642812e-05,5e-08,5e-08
56,-3.0326498934457206e-08,0.00011938742444420647,5e-08,5e-08,gaussian,0.2458898561488594,0.8297500008190792,0.0,-0.00011729521863172634,4.217436704104281e-05,5e-08,5e-08
57,-2.757103258154251e-06,1.3108935401279096e-05,5e-08,5e-08,gaussian,0.2998566058129453,0.8275641857906526,0.0,-3.17592970297077e-05,-6.797321456016997e-06,5e-08,5e-08
58,-3.265732132051926e-06,-3.299989923594991e-05,5e-08,5e-08,gaussian,0.2430410531982918,0.7153650514984444,0.0,3.152881837959457e-05,-3.566362802897595e-05,5e-08,5e-08
59,4.408330059579122e-06,-4.707585341271198e-05,5e-08,5e-08,gaussian,0.232737543598911,0.7194818078169019,0.0,5.079314418608478e-05,-4.053186382445487e-05,5e-08,5e-08
60,-1.542805491296215e-06,-4.8330105197076026e-05,5e-08,5e-08,gaussian,0.2904694313081103,0.7507703295284872,0.0,4.0329947391487254e-05,-0.00010192932442680777,5e-08,5e-08
61,-3.066525417166675e-06,1.2933644016295269e-06,5e-08,5e-08,gaussian,0.3071084242676698,0.7436336838883897,0.0,7.403745201349713e-05,8.842115998339842e-05,5e-08,5e-08
62,-2.2264824541127145e-06,-7.307967321074718e-06,5e-08,5e-08,gaussian,0.2945792506167218,0.5853906161154707,0.0,1.777940088703605e-05,-3.924721431750084e-05,5e-08,5e-08
63,5.056512290995468e-06,0.00013278152993714075,5e-08,5e-08,gaussian,0.2587459073215618,0.9544660876082602,0.0,-8.039580249936276e-05,7.17954728513678e-05,5e-08,5e-08
64,1.1405399243240449e-05,9.552231114958511e-05,5e-08,5e-08,gaussian,0.3186341386781596,0.751272503255551,0.0,-6.51424458351097e-05,5.205292317175106e-05,5e-08,5e-08
65,-3.598268833054437e-06,6.912792439494201e-05,5e-08,5e-08,gaussian,0.307395470925367,0.823914407432985,0.0,9.229838153452387e-05,0.00014192140244900453,5e-08,5e-08
66,4.295396534626876e-06,-6.584405408642787e-05,5e-08,5e-08,gaussian,0.3015660653507908,0.7987206180604955,0.0,7.060072947325161e-05,3.3834537972483965e-05,5e-08,5e-08
67,-6.652527661216242e-06,-0.00012885655757364497,5e-08,5e-08,gaussian,0.310718945831125,0.7638297014278899,0.0,0.00013480215174945057,-3.836446404331789e-05,5e-08,5e-08
68,1.601901508092358e-06,-7.247759005365771e-05,5e-08,5e-08,gaussian,0.2776729361158065,0.5631398710210814,0.0,9.6617461662728e-05,-1.535502319606131e-05,5e-08,5e-08
69,5.832337266333673e-06,-1.4477520686179395e-05,5e-08,5e-08,gaussian,0.2562147513849919,0.7441161933862971,0.0,6.534231085565846e-05,3.186705172470194e-05,5e-08,5e-08
70,6.30040085902018e-07,-2.4772547324861397e-05,5e-08,5e-08,gaussian,0.2431437697627142,0.8051481064532672,0.0,6.029759393148768e-05,-9.088688869904453e-06,5e-08,5e-08
71,-5.7211330105674615e-06,8.545359188524795e-05,5e-08,5e-08,gaussian,0.3039654311403233,0.6674847181819313,0.0,-5.2698690060612475e-05,3.0790468662146724e-05,5e-08,5e-08
72,-2.8337678416284146e-06,6.709839817450824e-05,5e-08,5e-08,gaussian,0.3213664275640817,0.9693838219716276,0.0,-4.651659695454965e-05,3.1264567403149514e-05,5e-08,5e-08
73,-6.314104353279377e-06,5.523558948216141e-05,5e-08,5e-08,gaussian,0.3607600507833251,0.6615989873569391,0.0,2.8671604554576848e-05,8.132647633397934e-05,5e-08,5e-08
74,6.96259219883291e-07,-5.208932241140482e-05,5e-08,5e-08,gaussian,0.2236705236849021,0.8532426240116363,0.0,5.4284856704674084e-05,-1.0150677295338631e-05,5e-08,5e-08
75,2.380682034664259e-06,-6.980482677472447e-05,5e-08,5e-08,gaussian,0.3009937418593609,0.8622055670717876,0.0,7.844425085164044e-05,-6.813892669723755e-06,5e-08,5e-08
76,-3.0498430975636957e-06,-9.94300289119606e-05,5e-08,5e-08,gaussian,0.2868644208729223,0.8201115096431242,0.0,8.366284311234247e-05,-0.00013087510652681948,5e-08,5e-08
