MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay,theta_degrees,theta_position,mux,muy
28,0.0,0.0,5e-08,5e-08,gaussian,0.2821860558888039,0.6747094837858281,0.0,5e-08,5e-08,45.44464338117625,45.44464338117625,0.0,0.0
29,0.0,0.0,5e-08,5e-08,gaussian,0.3180283111299446,0.8177102201054942,0.0,5e-08,5e-08,-51.6561778211601,-51.6561778211601,-0.0,0.0
30,0.0,0.0,5e-08,5e-08,gaussian,0.267632202477071,0.8009686180156025,0.0,5e-08,5e-08,85.03146653651956,85.03146653651956,0.0,0.0
31,0.0,0.0,5e-08,5e-08,gaussian,0.2987542038441074,0.6103456153317439,0.0,5e-08,5e-08,-59.99999999999997,-59.99999999999997,0.0,0.0
32,0.0,0.0,5e-08,5e-08,gaussian,0.3187905418590231,0.9240776824129568,0.0,5e-08,5e-08,-85.0314665365195,-85.0314665365195,-0.0,0.0
33,0.0,0.0,5e-08,5e-08,gaussian,0.2895132777786235,0.7062183379783776,0.0,5e-08,5e-08,16.687644357679716,16.687644357679716,0.0,0.0
34,0.0,0.0,5e-08,5e-08,gaussian,0.3201453436564796,0.8240375548768755,0.0,5e-08,5e-08,43.312355642320284,43.312355642320284,0.0,-0.0
35,0.0,0.0,5e-08,5e-08,gaussian,0.3356748724850168,0.6550078631475045,0.0,5e-08,5e-08,-25.03146653651953,-25.03146653651953,-0.0,0.0
36,0.0,0.0,5e-08,5e-08,gaussian,0.3064509259393936,0.6329315752074484,0.0,5e-08,5e-08,-8.365299200714006,-8.365299200714006,-0.0,0.0
37,0.0,0.0,5e-08,5e-08,gaussian,0.3283188352698079,0.7074116766666891,0.0,5e-08,5e-08,51.63470079928604,51.63470079928604,0.0,-0.0
38,0.0,0.0,5e-08,5e-08,gaussian,0.3081197122836798,0.7465857441629444,0.0,5e-08,5e-08,51.634700799286,51.634700799286,0.0,0.0
39,0.0,0.0,5e-08,5e-08,gaussian,0.2557409335864941,0.648778704501608,0.0,5e-08,5e-08,25.09589760214199,25.09589760214199,0.0,0.0
40,0.0,0.0,5e-08,5e-08,gaussian,0.3406534064438296,0.7970127533811256,0.0,5e-08,5e-08,34.90410239785798,34.90410239785798,0.0,-0.0
41,0.0,0.0,5e-08,5e-08,gaussian,0.2833000697773581,0.7059686638956498,0.0,5e-08,5e-08,-85.09589760214197,-85.09589760214197,0.0,0.0
42,0.0,0.0,5e-08,5e-08,gaussian,0.3113136834126231,0.844130929963957,0.0,5e-08,5e-08,68.36529920071399,68.36529920071399,0.0,-0.0
43,0.0,0.0,5e-08,5e-08,gaussian,0.2921438972591241,0.5975893375462631,0.0,5e-08,5e-08,25.14921397944846,25.14921397944846,0.0,0.0
44,0.0,0.0,5e-08,5e-08,gaussian,0.3192992405575061,0.6487573560824341,0.0,5e-08,5e-08,43.23385734703436,43.23385734703436,0.0,-0.0
45,0.0,0.0,5e-08,5e-08,gaussian,0.3265354737551159,0.7644882917830554,0.0,5e-08,5e-08,-51.61692867351715,-51.61692867351715,-0.0,0.0
46,0.0,0.0,5e-08,5e-08,gaussian,0.2722103463814949,0.8049869208055183,0.0,5e-08,5e-08,34.85078602055157,34.85078602055157,0.0,-0.0
47,0.0,0.0,5e-08,5e-08,gaussian,0.2954614525722571,0.7936139864460331,0.0,5e-08,5e-08,8.38307132648282,8.38307132648282,0.0,0.0
48,0.0,0.0,5e-08,5e-08,gaussian,0.2542437826477947,0.6829559485972044,0.0,5e-08,5e-08,-51.61692867351718,-51.61692867351718,0.0,0.0
49,0.0,0.0,5e-08,5e-08,gaussian,0.2338762247758548,0.7801107590182444,0.0,5e-08,5e-08,60.00000000000001,60.00000000000001,0.0,0.0
50,0.0,0.0,5e-08,5e-08,gaussian,0.2514932641781377,0.755203103067283,0.0,5e-08,5e-08,63.67406796615316,63.67406796615316,0.0,-0.0
51,0.0,0.0,5e-08,5e-08,gaussian,0.271122891690588,0.7825834185617647,0.0,5e-08,5e-08,85.71847576307192,85.71847576307192,0.0,-0.0
52,0.0,0.0,5e-08,5e-08,gaussian,0.2795895028361949,0.8378827445866552,0.0,5e-08,5e-08,85.7184757630719,85.7184757630719,0.0,0.0
53,0.0,0.0,5e-08,5e-08,gaussian,0.2608497694336787,0.6879932100812882,0.0,5e-08,5e-08,18.370339830765644,18.370339830765644,0.0,-0.0
54,0.0,0.0,5e-08,5e-08,gaussian,0.2354027075260376,0.8246789121718295,0.0,5e-08,5e-08,-18.370339830765644,-18.370339830765644,0.0,0.0
55,0.0,0.0,5e-08,5e-08,gaussian,0.3255146802593751,0.8061059066277314,0.0,5e-08,5e-08,-85.71847576307187,-85.71847576307187,-0.0,0.0
56,0.0,0.0,5e-08,5e-08,gaussian,0.2458898561488594,0.8297500008190792,0.0,5e-08,5e-08,71.02220389845937,71.02220389845937,0.0,-0.0
57,0.0,0.0,5e-08,5e-08,gaussian,0.2998566058129453,0.8275641857906526,0.0,5e-08,5e-08,11.022203898459395,11.022203898459395,0.0,-0.0
58,0.0,0.0,5e-08,5e-08,gaussian,0.2430410531982918,0.7153650514984444,0.0,5e-08,5e-08,25.75719081890182,25.75719081890182,0.0,-0.0
59,0.0,0.0,5e-08,5e-08,gaussian,0.232737543598911,0.7194818078169019,0.0,5e-08,5e-08,34.242809181098174,34.242809181098174,0.0,0.0
60,0.0,0.0,5e-08,5e-08,gaussian,0.2904694313081103,0.7507703295284872,0.0,5e-08,5e-08,63.67959868841453,63.67959868841453,0.0,-0.0
61,0.0,0.0,5e-08,5e-08,gaussian,0.3071084242676698,0.7436336838883897,0.0,5e-08,5e-08,78.39799344207272,78.39799344207272,0.0,0.0
62,0.0,0.0,5e-08,5e-08,gaussian,0.2945792506167218,0.5853906161154707,0.0,5e-08,5e-08,18.397993442072746,18.397993442072746,0.0,-0.0
