MM #,mux_in,muy_in,mux_fin,muy_fin,mux_changed,muy_changed,mux_zeroed,muy_zeroed
124,2.8475633406534133e-05,-6.947225944955455e-05,0.0,0.0,True,True,True,True
125,-1.7848613098835856e-05,-1.3884250252569482e-05,0.0,0.0,True,True,True,True
126,4.818536785926264e-05,4.80427432775721e-06,-0.0,0.0,True,True,True,True
127,4.796071880913855e-05,6.469439670556571e-05,0.0,-0.0,True,True,True,True
128,3.380540059919114e-05,6.092880833463087e-06,0.0,0.0,True,True,True,True
129,-2.236538290465201e-06,-4.815896314948896e-05,-0.0,0.0,True,True,True,True
130,4.0931563416948314e-05,-8.48283295087932e-05,0.0,0.0,True,True,True,True
131,-1.2002027427194911e-06,-1.6485328165240752e-05,0.0,0.0,True,True,True,True
132,-5.037684701006745e-05,-2.780703631936517e-05,0.0,0.0,True,True,True,True
133,-1.6279282765597342e-05,2.6599100417152967e-05,0.0,-0.0,True,True,True,True
134,5.2324850854623814e-05,6.74954916857728e-05,0.0,0.0,True,True,True,True
135,3.144793601453857e-06,3.134767641379131e-05,-0.0,0.0,True,True,True,True
136,4.1849287141558725e-05,-4.5467533727718634e-05,0.0,-0.0,True,True,True,True
137,-2.3751107547236e-05,-0.0001243851816204,0.0,0.0,True,True,True,True
138,3.110670393511617e-06,-3.711003675797157e-05,0.0,-0.0,True,True,True,True
139,2.3284262260873885e-05,-2.860234794411651e-05,-0.0,0.0,True,True,True,True
140,5.393430818676975e-05,1.4042036148811445e-05,0.0,0.0,True,True,True,True
141,1.9938260892314128e-05,9.178399033171203e-05,-0.0,0.0,True,True,True,True
142,3.0424846273431003e-06,1.6601536352993952e-05,0.0,0.0,True,True,True,True
143,-6.463146895406042e-06,-2.7268400407478628e-05,-0.0,0.0,True,True,True,True
144,4.73907787248603e-05,-8.713134294839638e-05,0.0,0.0,True,True,True,True
145,1.7690186131333408e-06,-3.903344410538434e-05,0.0,-0.0,True,True,True,True
146,-2.0799604159895257e-05,-5.74107588726611e-05,0.0,0.0,True,True,True,True
147,9.847049979701864e-05,2.2308514378769976e-05,0.0,-0.0,True,True,True,True
148,6.36811749747011e-05,6.505630421526917e-05,0.0,-0.0,True,True,True,True
149,2.4398747714527005e-05,2.3055605620698937e-05,0.0,0.0,True,True,True,True
150,-3.062923111622744e-05,-1.9155148499905117e-05,-0.0,0.0,True,True,True,True
151,-6.779564487371341e-05,-9.42379022559994e-05,0.0,0.0,True,True,True,True
152,1.5874301766170948e-05,-0.0001352341883628,0.0,0.0,True,True,True,True
153,1.4918509660472273e-05,-6.331720202836024e-06,0.0,0.0,True,True,True,True
154,7.644624604171186e-05,-4.824942949467908e-06,0.0,0.0,True,True,True,True
155,-6.848992873407729e-05,0.0001055153625032,0.0,0.0,True,True,True,True
156,3.102578515062467e-05,3.998861680314538e-05,-0.0,0.0,True,True,True,True
157,2.0875973201437344e-05,6.929329906997219e-05,0.0,-0.0,True,True,True,True
158,3.185038508748335e-05,-2.355221296911963e-05,-0.0,0.0,True,True,True,True
159,-1.5695571826618975e-05,-0.0001088180974467,0.0,-0.0,True,True,True,True
160,0.0001280445765359,-5.181877823353286e-05,-0.0,0.0,True,True,True,True
161,-0.0001008606954515,-4.504219924681772e-05,0.0,0.0,True,True,True,True
162,4.323885958882452e-06,-2.491595640887079e-05,0.0,0.0,True,True,True,True
163,5.5483345525449734e-05,1.3721858414228264e-05,0.0,0.0,True,True,True,True
164,-7.721681483571636e-05,8.373483036042467e-05,0.0,0.0,True,True,True,True
165,-1.210602051573787e-05,7.70361531340566e-06,-0.0,0.0,True,True,True,True
166,0.0001057940924036,-5.019272393517953e-06,-0.0,0.0,True,True,True,True
167,0.0001870772115342,-7.715057348042782e-05,0.0,0.0,True,True,True,True
168,1.1690629949539655e-05,-0.0001304857044543,0.0,0.0,True,True,True,True
169,0.0001074243335293,-3.7171092326437064e-05,0.0,0.0,True,True,True,True
170,-8.55341088442115e-05,1.29624685325859e-05,0.0,0.0,True,True,True,True
171,-4.948465181563421e-06,3.0148595618180008e-05,0.0,0.0,True,True,True,True
172,4.5986039514941466e-05,0.0001081089570119,0.0,-0.0,True,True,True,True
173,2.5015973153874433e-05,3.6329036547512064e-05,0.0,-0.0,True,True,True,True
174,2.3923458916969748e-05,3.3652854999296944e-05,0.0,-0.0,True,True,True,True
175,3.770083878864204e-05,-3.939453104653082e-05,-0.0,0.0,True,True,True,True
176,3.753417073585591e-05,-6.274072058116442e-05,-0.0,0.0,True,True,True,True
177,-0.0001179890287793,-5.298505053101906e-05,0.0,0.0,True,True,True,True
178,8.014071226314545e-05,-6.747735771381933e-05,0.0,0.0,True,True,True,True
179,-6.136292355463826e-05,4.387378584468065e-06,0.0,0.0,True,True,True,True
180,8.332831303890418e-05,6.98942294498873e-05,0.0,0.0,True,True,True,True
181,7.889322354367353e-05,5.8093212855396646e-05,0.0,0.0,True,True,True,True
182,-1.199790988213715e-05,9.080430445119029e-05,0.0,-0.0,True,True,True,True
183,-0.0001295887188171,-0.0001262738724042,-0.0,0.0,True,True,True,True
184,0.0001287952648875,-7.065155508840813e-05,0.0,0.0,True,True,True,True
185,0.0001787088065909,-0.0001322868826826,0.0,0.0,True,True,True,True
186,-4.5848134093057634e-05,-8.440541903673252e-05,0.0,0.0,True,True,True,True
187,7.35594041033521e-05,1.9884906584335555e-05,0.0,-0.0,True,True,True,True
188,0.0001240582481947,8.223812822901492e-05,0.0,0.0,True,True,True,True
189,0.0001716841274685,9.02125686126122e-05,0.0,-0.0,True,True,True,True
190,5.851690690759481e-05,0.0001352679303641,-0.0,0.0,True,True,True,True
191,-8.448149230157319e-06,4.1868251307917665e-05,0.0,-0.0,True,True,True,True
192,1.0152893422095122e-05,-8.11960436987024e-05,-0.0,0.0,True,True,True,True
193,7.272734439188964e-05,-9.129360986000986e-05,-0.0,0.0,True,True,True,True
194,-5.0177021369897474e-05,-0.0001080945333124,0.0,0.0,True,True,True,True
195,-6.255077753853654e-05,-0.000109189059186,-0.0,0.0,True,True,True,True
196,-5.41153442678956e-05,1.012175362573895e-05,0.0,0.0,True,True,True,True
197,0.0001149992755717,9.545985441694926e-05,0.0,0.0,True,True,True,True
198,0.0001895465002222,7.285711032109682e-05,0.0,0.0,True,True,True,True
199,-3.883416256366727e-06,7.724414457195724e-05,0.0,0.0,True,True,True,True
200,-5.794950700470412e-05,2.5725602828804417e-05,-0.0,0.0,True,True,True,True
201,3.177629121109278e-06,-2.291198602564974e-05,0.0,0.0,True,True,True,True
202,-2.1301045580640172e-05,-6.033128796399139e-06,-0.0,0.0,True,True,True,True
203,1.3928986206277271e-05,3.176769928296461e-05,0.0,-0.0,True,True,True,True
204,1.660756162124861e-05,5.914564917235444e-07,0.0,-0.0,True,True,True,True
205,1.0412780605333729e-05,-3.0151758282034267e-05,0.0,0.0,True,True,True,True
206,4.677916984251365e-06,-4.051789452326121e-05,-0.0,0.0,True,True,True,True
207,2.180516913598137e-05,3.523106317562219e-05,0.0,-0.0,True,True,True,True
208,1.2159259509747745e-05,2.356957340186576e-06,-0.0,0.0,True,True,True,True
209,-2.270694067624979e-05,2.589922811341335e-06,0.0,-0.0,True,True,True,True
210,-2.3752219206548027e-06,-3.288397724520363e-05,0.0,0.0,True,True,True,True
211,-1.462727575379899e-05,1.119658177199913e-05,0.0,-0.0,True,True,True,True
212,9.93406483574174e-06,-2.882142812459727e-05,0.0,-0.0,True,True,True,True
213,2.049708583319298e-05,-7.636316794431045e-05,0.0,0.0,True,True,True,True
214,3.2802067917923607e-05,-6.031532441412525e-05,0.0,0.0,True,True,True,True
215,4.947683738056426e-06,-8.323714857058581e-06,-0.0,0.0,True,True,True,True
216,-2.498223693415852e-06,4.433244194665777e-05,0.0,0.0,True,True,True,True
217,1.6002947894718464e-05,-2.2405777227038368e-05,0.0,0.0,True,True,True,True
218,3.043937300250118e-06,-2.8392613325163553e-05,0.0,-0.0,True,True,True,True
219,7.766888981258998e-06,-4.000226096438755e-05,0.0,0.0,True,True,True,True
220,-1.8328407784131177e-05,-4.0826569707785794e-05,0.0,-0.0,True,True,True,True
221,3.7923353833544634e-05,2.842933798836888e-05,-0.0,0.0,True,True,True,True
222,2.900116702950204e-05,5.635838212834084e-05,0.0,0.0,True,True,True,True
223,1.6357737724534543e-05,-2.234083692120439e-05,0.0,0.0,True,True,True,True
224,-1.749378101470773e-05,-6.006180476243808e-05,-0.0,0.0,True,True,True,True
225,-5.1074319452996586e-05,4.4162505397067006e-05,0.0,-0.0,True,True,True,True
226,2.0280997079947303e-05,1.4975020065480952e-05,0.0,-0.0,True,True,True,True
227,4.624273880782347e-05,2.7473597013446056e-06,0.0,-0.0,True,True,True,True
228,5.351097558976775e-05,1.429044688586907e-05,0.0,0.0,True,True,True,True
229,6.312945620669043e-06,-2.452818149585669e-05,0.0,0.0,True,True,True,True
230,-0.0001019191540314,-3.7469682040409024e-05,0.0,-0.0,True,True,True,True
231,-4.2008639469899486e-05,-1.5580366179354237e-05,0.0,0.0,True,True,True,True
232,1.9291322846439936e-05,-1.7141713454889948e-06,-0.0,0.0,True,True,True,True
233,4.3474685180442065e-05,-2.809848376486793e-06,0.0,0.0,True,True,True,True
234,7.524481818834563e-05,-7.067488119298258e-06,0.0,-0.0,True,True,True,True
235,5.236064328105105e-05,1.8675033929488664e-05,0.0,0.0,True,True,True,True
236,6.307409745788593e-05,-6.632898887026067e-05,0.0,0.0,True,True,True,True
237,-8.800310170999654e-05,-8.160061507555717e-05,0.0,-0.0,True,True,True,True
238,-7.219562079776332e-05,3.64239977265521e-05,0.0,-0.0,True,True,True,True
239,-1.2597915493315916e-05,-4.447293589118927e-05,-0.0,0.0,True,True,True,True
240,1.8694895539776417e-05,3.707589083565879e-05,0.0,-0.0,True,True,True,True
241,6.353143757793734e-05,5.3139544859713656e-05,-0.0,0.0,True,True,True,True
242,5.4137621929028866e-05,-5.598498787727211e-06,-0.0,0.0,True,True,True,True
243,-2.5790933063928007e-05,-3.1221475665631223e-05,-0.0,0.0,True,True,True,True
244,-2.980019573217959e-05,-8.712726185133907e-05,0.0,0.0,True,True,True,True
245,-7.718814791576688e-05,-3.505387185882704e-05,0.0,-0.0,True,True,True,True
246,3.272745369342891e-05,-4.519001817408282e-05,-0.0,0.0,True,True,True,True
247,4.1941507561985616e-05,-7.465112592420355e-05,0.0,0.0,True,True,True,True
248,0.0001100566563865,-4.979123217142136e-05,0.0,0.0,True,True,True,True
249,1.0691032483352356e-05,7.31743817076211e-05,0.0,0.0,True,True,True,True
250,-2.02282123617334e-05,-4.6786747330093136e-05,0.0,-0.0,True,True,True,True
251,-3.808580421760753e-05,-4.7512734440199495e-05,0.0,0.0,True,True,True,True
252,-0.0001283978615696,-3.422491878056515e-05,-0.0,0.0,True,True,True,True
253,-2.3754146555425947e-05,1.4634084626905997e-05,0.0,0.0,True,True,True,True
